	label	mc	mc_onset	mn_onset
0	Key=d	0	0	5/16
1	F	0	0	5/16
2	A7/E	1	0	0
3	Dm	2	0	0
4	A7	3	0	0
5	Dm/A	4	0	0
6	A7/E	5	0	0
7	Dm	6	0	0
8	B-	7	0	0
9	B-/F	7	1/4	1/4
10	Dm/F	8	0	0
11	A7/E	9	0	0
12	Dm	10	0	0
13	D	11	0	0
14	B-	12	0	0
15	Dm	13	0	0
16	Eo	13	1/4	1/4
17	Dm/F	14	0	0
18	Key=F	15	0	0
19	C7sus4/E	15	0	0
20	C7/E	15	1/8	1/8
21	Key=d	15	1/4	1/4
22	Asus4	15	1/4	1/4
23	Key=F	17	0	0
24	C	17	0	0
25	Key=d	18	0	0
26	A	18	0	0
27	Key=F	18	1/4	1/4
28	Gm	18	1/4	1/4
29	C/E	19	0	0
30	C6	19	1/4	1/4
31	F	20	0	0
32	Key=d	21	0	0
33	A/C#	21	0	0
34	A	21	1/4	1/4
35	Dm	22	0	0
36	G/B	23	0	0
37	Key=F	24	0	0
38	Gm/B-	24	0	0
39	B-m	24	1/4	1/4
40	C	25	0	0
41	Gm	26	0	0
42	Key=d	26	1/4	1/4
43	A	26	1/4	1/4
44	Key=F	27	1/4	1/4
45	Dm	27	1/4	1/4
46	C	28	0	0
47	F	28	1/4	1/4
48	C	29	0	0
49	F/A	31	0	0
50	Gm	31	1/4	1/4
51	F	32	0	0
52	Dm/F	33	0	0
53	Key=d	34	0	0
54	B-/F	34	0	0
55	Key=g	35	0	0
56	G	35	0	0
57	F#o/A	35	1/4	1/4
58	F	36	0	0
59	D7	37	0	0
60	Key=d	39	0	0
61	A	39	0	0
62	Em/G	39	1/4	1/4
63	A6	40	0	0
64	A7/C#	40	1/4	1/4
65	D	41	0	0
66	Key=g	41	1/4	1/4
67	Dm	41	1/4	1/4
68	G/B	42	0	0
69	D7/F#	43	0	0
70	D7/C	43	1/4	1/4
71	Key=F	45	0	0
72	Csus4	45	0	0
73	Gm	46	0	0
74	F	47	0	0
75	Key=Bb	47	1/4	1/4
76	F7/C	47	1/4	1/4
77	Key=F	48	0	0
78	F	48	0	0
79	Key=g	50	0	0
80	Gm	50	0	0
81	Key=F	50	1/4	1/4
82	Dm	50	1/4	1/4
