	label	mc	mc_onset	mn_onset
0	Key=G	0	1/4	1/4
1	G	0	1/4	1/4
2	F#o/A	1	1/2	1/2
3	G/B	2	0	0
4	F#o/A	3	0	0
5	G	3	1/2	1/2
6	A	9	1/2	1/2
7	G	10	0	0
8	G/B	10	1/2	1/2
9	A	11	0	0
10	G	11	1/2	1/2
11	G7/D	13	0	0
12	D	14	0	0
13	Key=C	15	0	0
14	G7	15	0	0
15	Key=G	16	0	0
16	G/D	16	0	0
17	G	16	1/4	1/4
18	F#o/A	17	1/2	1/2
19	G/B	18	0	0
20	F#o/A	19	0	0
21	G	19	1/2	1/2
22	D	25	1/2	1/2
23	G	26	0	0
24	G/B	26	1/2	1/2
25	F#o/A	27	0	0
26	G	27	1/2	1/2
27	Eo	28	1/2	1/2
28	G	29	0	0
29	Key=C	30	0	0
30	G7/D	30	0	0
31	Key=G	31	0	0
32	C	31	0	0
33	G/B	32	0	0
34	F#o/A	33	5/8	5/8
35	G	34	0	0
36	D	35	0	0
37	G/B	36	0	0
38	D/F#	37	0	0
39	Em	38	0	0
40	A	38	1/2	1/2
41	G/B	39	0	0
42	Key=e	40	0	0
43	B	40	0	0
44	Bm	40	1/4	1/4
45	B	41	0	0
46	Key=G	41	5/8	5/8
47	F#o/A	41	5/8	5/8
48	G	42	0	0
49	D	43	0	0
50	A	44	0	0
51	C/E	44	1/4	1/4
52	F#o	46	1/2	1/2
53	G	47	0	0
54	Key=C	48	0	0
55	Dm/F	48	0	0
56	G	49	0	0
57	C/E	50	1/8	1/8
58	F/A	51	0	0
59	D	52	1/2	1/2
60	C	53	0	0
61	Key=G	54	1/2	1/2
62	D	54	1/2	1/2
63	Key=C	55	0	0
64	Dm	55	0	0
65	F	56	0	0
66	Key=F	57	0	0
67	C	57	0	0
68	C7/E	58	1/8	1/8
69	F/A	59	0	0
70	Eo	62	1/2	1/2
71	F	63	0	0
