	label	mc	mc_onset	mn_onset
0	Key=F	0	0	0
1	F	0	0	0
2	C	1	0	0
3	Key=a	3	0	0
4	F	3	0	0
5	Am/C	3	1/4	1/4
6	E	4	0	0
7	Am	4	1/4	1/4
8	E	5	0	0
9	Am	7	0	0
10	Key=F	9	0	0
11	C	9	0	0
12	C7/B-	10	1/4	1/4
13	F/A	11	0	0
14	B-	12	0	0
15	F	13	0	0
16	C/E	14	0	0
17	F	15	0	0
18	Key=C	16	0	0
19	C/E	16	0	0
20	G	17	0	0
21	G7/F	18	1/4	1/4
22	C	19	0	0
23	Eo/G	19	1/4	1/4
24	G	20	0	0
25	C/E	22	0	0
26	F/A	23	0	0
27	C/E	24	0	0
28	Key=G	25	0	0
29	D/F#	25	0	0
30	Key=C	26	0	0
31	G6	26	0	0
32	G7/F	26	1/4	1/4
33	Key=G	27	0	0
34	F#o/A	27	0	0
35	Key=C	27	1/4	1/4
36	Bo	27	1/4	1/4
37	Key=G	28	0	0
38	F#o7	28	0	0
39	G/B	29	0	0
40	D	30	0	0
41	Key=F	31	0	0
42	C	31	0	0
43	B-	31	1/4	1/4
44	Key=Bb	32	0	0
45	F	32	0	0
46	B-/D	33	0	0
47	Key=C	34	0	0
48	G7/B	34	0	0
49	Key=F	35	0	0
50	F	35	0	0
51	Gm	36	0	0
52	Key=Bb	36	1/4	1/4
53	F	36	1/4	1/4
54	B-/D	37	0	0
55	F/A	37	1/4	1/4
56	Dm	39	0	0
57	F7	40	0	0
58	B-/D	41	0	0
59	Cm	43	0	0
60	D	43	1/4	1/4
61	Ao/C	44	0	0
62	B-	44	1/4	1/4
63	Key=F	45	0	0
64	Eo7	45	0	0
65	Key=Bb	46	0	0
66	B-	46	0	0
67	D	47	0	0
68	F/A	47	1/4	1/4
69	B-	48	0	0
