	label	mc	mc_onset	mn_onset
0	Key=d	0	0	5/16
1	Dm	0	0	5/16
2	A7	1	0	0
3	Dsus2	2	0	0
4	Dm	2	3/16	3/16
5	A7	3	0	0
6	Dm6	4	0	0
7	Dm	4	3/8	3/8
8	A7	5	0	0
9	Dm/F	6	0	0
10	B-	7	0	0
11	A7	8	0	0
12	Dsus2	10	0	0
13	Dm	10	3/16	3/16
14	Key=g	11	0	0
15	D7/C	11	0	0
16	Key=d	12	0	0
17	Gm	12	0	0
18	Eø7	13	0	0
19	A7	13	1/4	1/4
20	Dm6	14	0	0
21	Dm	14	5/16	5/16
22	A7	15	0	0
23	Dm/F	16	0	0
24	Dm7	17	0	0
25	Key=F	18	0	0
26	Gm	18	0	0
27	C	19	0	0
28	F6	20	0	0
29	F	20	1/16	1/16
30	Key=d	21	0	0
31	A	21	0	0
32	Key=F	22	0	0
33	Dm	22	0	0
34	Key=C	23	0	0
35	Gsus2add7	23	0	0
36	G7	23	1/24	1/24
37	Key=F	24	0	0
38	C7	24	0	0
39	F	25	0	0
40	Gsus2	26	0	0
41	Gm	26	1/16	1/16
42	Key=d	27	0	0
43	A7	27	0	0
44	Key=F	28	0	0
45	Gm7/B-	28	0	0
46	Esus2-5add7/B-	29	0	0
47	Eo7/B-	29	1/16	1/16
48	F	30	0	0
49	C7	31	0	0
50	F	32	0	0
51	Dm	33	0	0
52	B-	34	0	0
53	Key=Bb	35	0	0
54	Fsus2	35	0	0
55	F7	36	0	0
56	B-sus2	37	0	0
57	B-	37	1/4	1/4
58	Key=g	38	0	0
59	D7	38	0	0
60	Gsus2	39	0	0
61	Key=d	40	0	0
62	A76	40	0	0
63	A7	40	1/24	1/24
64	Asus4-5	41	0	0
65	Key=C	41	1/4	1/4
66	Dø7/A-	41	1/4	1/4
67	G7	42	0	0
68	Key=F	43	0	0
69	C	43	0	0
70	Key=g	44	0	0
71	D7	44	0	0
72	Key=Bb	45	0	0
73	B-	45	0	0
74	Key=F	45	1/4	1/4
75	B-7	45	1/4	1/4
76	C7/E	46	0	0
77	F	47	0	0
78	G7	47	1/4	1/4
79	F	48	0	0
80	Key=Bb	49	0	0
81	B-	49	0	0
82	Key=F	50	0	0
83	Asus4	50	0	0
