	label	mc	mc_onset	mn_onset
0	Key=d	0	0	3/16
1	Dm	0	0	3/16
2	Eo/G	2	0	0
3	Eo	3	0	0
4	Dm/F	4	0	0
5	Dm	5	0	0
6	Gm/B-	6	0	0
7	F/A	6	1/4	1/4
8	Gm	7	0	0
9	Dm	8	0	0
10	Key=F	10	0	0
11	C7/G	10	0	0
12	Eo/G	10	1/4	1/4
13	Key=d	11	0	0
14	C	11	0	0
15	Dm/F	12	0	0
16	Dsus2	13	1/4	1/4
17	D	13	3/8	3/8
18	B-	14	0	0
19	Gm	14	1/4	1/4
20	A	15	0	0
21	D/F#	17	0	0
22	F#m	17	1/4	1/4
23	Bm	18	0	0
24	Em	19	0	0
25	A	20	0	0
26	D	21	0	0
27	D/F#	23	0	0
28	A	24	0	0
29	Dm/F	25	0	0
30	Gm	25	1/4	1/4
31	Dm	26	0	0
32	F	26	1/4	1/4
33	F/C	27	0	0
34	Key=g	27	1/4	1/4
35	C	27	1/4	1/4
36	D7/C	28	0	0
37	D	28	1/4	1/4
38	B-	29	0	0
39	Ao/C	30	0	0
40	D	31	0	0
41	G/B	32	0	0
42	Key=F	33	0	0
43	C/E	33	0	0
44	B-/D	34	0	0
45	Key=g	34	1/4	1/4
46	F	34	1/4	1/4
47	Key=c	35	0	0
48	Csus4	35	0	0
49	Key=g	36	0	0
50	Cm	36	0	0
51	Key=Bb	37	0	0
52	B-sus4	37	0	0
53	Key=g	38	0	0
54	Cm	38	0	0
55	Key=Bb	40	1/4	1/4
56	Ao	40	1/4	1/4
57	Key=d	41	0	0
58	B-	41	0	0
59	Bm	41	1/4	1/4
60	Dm	42	0	0
