	label	mc	mc_onset	mn_onset
0	Key=C	0	0	5/16
1	C	0	0	5/16
2	Dm	1	0	0
3	G	2	0	0
4	Dm	3	0	0
5	G/B	3	1/4	1/4
6	C/G	4	0	0
7	Bo7/F	5	0	0
8	C	6	0	0
9	Dm	9	0	0
10	G	10	0	0
11	Dm	11	0	0
12	G/B	11	1/4	1/4
13	C	12	0	0
14	C/G	12	1/4	1/4
15	Dm7	13	0	0
16	A/C#	14	0	0
17	G7/D	15	0	0
18	C	16	0	0
19	Key=a	17	0	0
20	E/G#	17	0	0
21	Am/C	17	1/4	1/4
22	B-	18	0	0
23	B-/D	18	1/4	1/4
24	E/G#	19	0	0
25	Am	20	0	0
26	E7	20	1/4	1/4
27	Am/C	21	0	0
28	E/B	22	0	0
29	E-5	22	1/4	1/4
30	E/G#	24	0	0
31	E7	24	1/4	1/4
32	Am/C	25	0	0
33	B-	26	0	0
34	B-/D	26	1/4	1/4
35	E	27	0	0
36	A/C#	28	0	0
37	F	28	1/4	1/4
38	Dm	29	0	0
39	E	30	0	0
40	Am/C	30	1/4	1/4
41	E	31	0	0
42	Am	32	0	0
43	Key=C	33	0	0
44	C	33	0	0
45	Bo	33	1/4	1/4
46	Key=G	34	0	0
47	D7	34	0	0
48	Key=C	35	0	0
49	G7/B	35	0	0
50	C	35	1/4	1/4
51	Gm	36	0	0
52	C	37	0	0
53	Key=G	38	0	0
54	D7	38	0	0
55	Key=C	39	0	0
56	F/A	39	0	0
57	C/E	40	0	0
58	G7/B	40	1/4	1/4
59	C	41	0	0
60	Key=G	42	0	0
61	D7	42	0	0
62	Key=C	43	0	0
63	G7/B	43	0	0
64	Eo/G	44	0	0
65	Gsus4	45	0	0
66	Key=G	46	0	0
67	F#o7/C	46	0	0
68	Key=C	47	0	0
69	Gm/B-	47	0	0
70	Key=F	48	0	0
71	C7	48	0	0
72	Key=C	49	1/4	1/4
73	Csus4	49	1/4	1/4
