	label	mc	mc_onset	mn_onset
0	Key=A	0	0	1/4
1	Esus4	0	0	1/4
2	A	1	0	0
3	G#o/B	1	1/4	1/4
4	Key=D	2	0	0
5	A7/G	2	0	0
6	Key=A	3	0	0
7	A	3	0	0
8	A/C#	3	1/4	1/4
9	Key=D	4	0	0
10	D/F#	4	0	0
11	Key=A	5	0	0
12	G/B	5	0	0
13	Esus2add7/G#	6	0	0
14	E7/G#	6	1/4	1/4
15	A	7	0	0
16	E	8	0	0
17	A	8	1/4	1/4
18	A/C#	9	0	0
19	A	9	1/4	1/4
20	D	11	0	0
21	A	12	0	0
22	Key=D	12	1/4	1/4
23	G/B	12	1/4	1/4
24	Key=A	13	0	0
25	D	13	0	0
26	F#	13	1/4	1/4
27	A/C#	14	0	0
28	Key=D	15	0	0
29	C#o	15	0	0
30	Key=A	15	1/4	1/4
31	B/D#	15	1/4	1/4
32	Key=D	16	0	0
33	C#o/E	16	0	0
34	A7/E	17	0	0
35	D/F#	17	1/4	1/4
36	Key=A	18	0	0
37	Em/G	18	0	0
38	A/C#	19	0	0
39	Key=e	19	1/4	1/4
40	B/D#	19	1/4	1/4
41	Key=A	20	0	0
42	Em	20	0	0
43	G	21	0	0
44	E/G#	21	1/4	1/4
45	Key=D	22	0	0
46	A	22	0	0
47	D/F#	23	0	0
48	Em	24	0	0
49	A7/C#	25	0	0
50	Em	26	0	0
51	Key=A	26	1/4	1/4
52	F#m	26	1/4	1/4
53	Key=D	27	0	0
54	D/F#	27	0	0
55	Key=A	27	1/4	1/4
56	D	27	1/4	1/4
57	A/E	28	0	0
58	A/C#	29	0	0
59	E/G#	29	1/4	1/4
60	A	30	0	0
61	Em	32	1/4	1/4
62	Key=D	33	0	0
63	A7/C#	33	0	0
64	Key=A	34	0	0
65	Em	34	0	0
66	Key=b	34	1/4	1/4
67	F#	34	1/4	1/4
68	Key=A	35	0	0
69	Bm	35	0	0
70	Key=D	36	0	0
71	D	36	0	0
72	D/F#	36	1/4	1/4
73	Key=A	37	0	0
74	D	37	0	0
75	E/G#	39	1/4	1/4
76	E7/B	40	0	0
77	A	41	1/4	1/4
78	A/C#	42	0	0
79	E7	43	1/4	1/4
80	A/C#	45	1/4	1/4
81	E/G#	47	1/4	1/4
82	E7/B	48	0	0
83	A	49	1/4	1/4
84	A/C#	50	0	0
85	E7	51	1/4	1/4
86	E	52	0	0
87	A	53	0	0
88	G#o/D	53	1/4	1/4
89	E/G#	54	0	0
90	A	54	1/4	1/4
91	D	55	1/4	1/4
92	A	56	0	0
93	D	58	0	0
94	A/C#	60	0	0
95	E	60	1/4	1/4
