	label	mc	mc_onset	mn_onset
0	Key=c	0	0	0
1	G	0	0	0
2	Cm/E-	1	0	0
3	Fm	2	0	0
4	G/B	4	0	0
5	Cm	5	0	0
6	B-/D	8	0	0
7	Bo/D	9	0	0
8	Cm	10	0	0
9	G7	13	0	0
10	Fm/A-	14	1/2	1/2
11	G	15	0	0
12	Cm/E-	17	0	0
13	Fm/A-	18	0	0
14	G	20	0	0
15	E-m	23	0	0
16	D-	24	0	0
17	E-	25	0	0
18	Cm	26	0	0
19	G	27	0	0
20	Cm	28	0	0
21	G/B	29	0	0
22	Cm	30	0	0
23	G	32	0	0
24	Key=C	33	0	0
25	C	33	0	0
26	Key=a	33	1/4	1/4
27	E7/B	33	1/4	1/4
28	Key=d	33	1/2	1/2
29	Eo/B-	33	1/2	1/2
30	A	34	0	0
31	Key=C	34	1/2	1/2
32	Dm/A	34	1/2	1/2
33	Asus4	35	0	0
34	Fm/A-	35	1/4	1/4
35	C	35	1/2	1/2
36	Gsus4	36	0	0
37	G	37	0	0
38	Am	37	1/2	1/2
39	Esus4	38	0	0
40	G	39	0	0
41	Key=a	41	0	0
42	Am	41	0	0
43	E/B	41	1/4	1/4
44	E/G#-5	41	1/2	1/2
45	Am	42	0	0
46	Dm/F	42	3/8	3/8
47	C#o	43	0	0
48	Key=C	44	0	0
49	Em	44	0	0
50	Key=G	45	0	0
51	D/F#	45	0	0
52	Key=C	45	1/2	1/2
53	Gm	45	1/2	1/2
54	C	46	0	0
55	G	48	0	0
56	Am	50	0	0
57	Em/G	50	1/2	1/2
58	G/B	52	0	0
59	C	52	1/4	1/4
60	G	53	0	0
61	C	53	1/2	1/2
62	G	54	0	0
63	G/B	54	1/2	1/2
64	Key=a	55	1/4	1/4
65	F	55	1/4	1/4
66	E	56	0	0
67	E/G#	57	1/8	1/8
68	Key=C	58	0	0
69	Am/C	58	0	0
70	G7/D	62	0	0
71	Gsus2	63	0	0
72	G	63	1/8	1/8
73	G7	63	1/4	1/4
74	G	63	1/2	1/2
75	Am	66	0	0
76	G	66	1/2	1/2
77	G/B	67	1/2	1/2
78	C	68	0	0
79	G	70	0	0
80	G/B	70	1/2	1/2
81	F	71	1/4	1/4
82	C/E	72	0	0
83	E	73	1/8	1/8
84	G/B	74	0	0
85	C	74	1/2	1/2
86	Key=G	75	1/4	1/4
87	Am/C	75	1/4	1/4
88	D/F#	76	0	0
89	F/A	76	1/2	1/2
90	Key=C	77	0	0
91	G6	77	0	0
92	C/E	78	0	0
93	G	78	1/2	1/2
94	C	79	0	0
