	label	mc	mc_onset	mn_onset
0	Key=C	0	0	0
1	Am	0	0	0
2	Key=G	0	1/4	1/4
3	D7/F#	0	1/4	1/4
4	Key=C	1	0	0
5	G	1	0	0
6	Key=F	2	0	0
7	C7	2	0	0
8	Csus2	3	0	0
9	C	3	1/16	1/16
10	F	4	0	0
11	Am	5	0	0
12	Key=C	6	0	0
13	E	6	0	0
14	Key=F	7	0	0
15	C76	7	0	0
16	F	8	0	0
17	Key=C	8	1/4	1/4
18	D7	8	1/4	1/4
19	Gsus2add7	9	0	0
20	G7	9	3/16	3/16
21	Key=F	10	0	0
22	C7	10	0	0
23	F6	11	0	0
24	D7	11	1/4	1/4
25	C7/G	12	0	0
26	F	12	1/4	1/4
27	C	14	0	0
28	F	15	0	0
29	Key=C	16	0	0
30	C	16	0	0
31	Key=G	17	0	0
32	D7sus4/F#	17	0	0
33	D7/F#	17	1/16	1/16
34	Key=C	18	0	0
35	G76	18	0	0
36	G7	18	1/16	1/16
37	C/G6	19	0	0
38	C/G	19	1/16	1/16
39	C	20	0	0
40	G	21	0	0
41	Key=G	22	0	0
42	D7	22	0	0
43	Key=C	23	0	0
44	Gsus2add7	23	0	0
45	G7	23	1/16	1/16
46	C	24	0	0
47	Key=G	25	0	0
48	D7sus4	25	0	0
49	D7	25	1/16	1/16
50	Key=C	26	0	0
51	G76	26	0	0
52	G7	26	1/16	1/16
53	C6	27	0	0
54	C	27	1/8	1/8
55	Key=F	27	1/4	1/4
56	C7	27	1/4	1/4
57	F	28	0	0
58	F7	28	1/4	1/4
59	C	29	0	0
60	Key=C	30	0	0
61	G7	30	0	0
62	Key=F	31	0	0
63	C	31	0	0
64	F	32	0	0
65	B-	33	0	0
66	C	34	0	0
67	Key=Bb	35	0	0
68	F76	35	0	0
69	F7	35	5/16	5/16
70	B-6	36	0	0
71	B-	36	1/4	1/4
72	F	38	0	0
73	A	39	0	0
74	F76	40	0	0
75	F7	40	1/4	1/4
76	B-	41	0	0
77	Key=F	42	0	0
78	C7	42	0	0
79	D7	43	0	0
80	C7/G	44	0	0
81	Csus2add7	45	0	0
82	C7add-5	45	1/16	1/16
83	Key=Bb	46	0	0
84	B-	46	0	0
85	Key=F	46	1/4	1/4
86	Gm7	46	1/4	1/4
87	Key=Bb	47	0	0
88	F7	47	0	0
89	B-	48	0	0
