	label	mc	mc_onset	mn_onset
0	Key=C	0	0	0
1	C	0	0	0
2	Em	1	0	0
3	Dm	1	1/4	1/4
4	G7	2	0	0
5	Csus2	3	0	0
6	Key=d	4	0	0
7	A7	4	0	0
8	Key=C	5	0	0
9	Dm/F	5	0	0
10	G7	6	0	0
11	Csus2	7	0	0
12	C	7	1/8	1/8
13	Dm	9	0	0
14	Key=a	10	0	0
15	G#o7	10	0	0
16	Key=G	11	0	0
17	D7/A	11	0	0
18	D#o7/F#	12	0	0
19	Key=C	13	0	0
20	C/E	13	0	0
21	Key=D	13	1/4	1/4
22	A7	13	1/4	1/4
23	Key=G	14	0	0
24	D/F#	14	0	0
25	Key=C	14	1/4	1/4
26	G7	14	1/4	1/4
27	C	15	0	0
28	G	16	0	0
29	Asus4	17	0	0
30	Key=G	18	0	0
31	D76	18	0	0
32	D7	18	1/16	1/16
33	G6	19	0	0
34	Key=D	21	0	0
35	A7	21	0	0
36	Key=G	22	0	0
37	D7	22	0	0
38	G6	23	0	0
39	Asus4	25	0	0
40	Key=e	26	0	0
41	B	26	0	0
42	Key=G	27	0	0
43	Em	27	0	0
44	Key=D	28	0	0
45	C#o	28	0	0
46	Key=C	29	0	0
47	G6	29	0	0
48	G	29	1/16	1/16
49	Key=G	30	0	0
50	D7/A	30	0	0
51	Key=C	31	0	0
52	G	31	0	0
53	Dm7/F	32	0	0
54	G7	33	0	0
55	C	34	0	0
56	Dm/F	35	0	0
57	Key=G	36	0	0
58	D7	36	0	0
59	Key=C	37	0	0
60	G	37	0	0
61	C7	38	0	0
62	D7sus4/F	39	0	0
63	Dm7/F	39	1/16	1/16
64	Eø7/G	41	0	0
65	Key=d	42	0	0
66	A7	42	0	0
67	Key=C	43	0	0
68	Dsus4/F	43	0	0
69	Key=a	44	0	0
70	G#o7/B	44	0	0
71	Key=C	45	0	0
72	Dm7/F	45	0	0
73	Key=F	46	0	0
74	C7	46	0	0
75	F	47	0	0
