	label	mc	mc_onset	mn_onset
0	Key=D	0	0	0
1	D	0	0	0
2	A7	2	0	0
3	D	3	0	0
4	Key=G	5	0	0
5	F#o	5	0	0
6	G6	6	0	0
7	D	7	0	0
8	Key=D	8	0	0
9	F	8	0	0
10	Key=F	9	0	0
11	C7	9	0	0
12	Key=D	10	0	0
13	F	10	0	0
14	Am	11	0	0
15	A	12	0	0
16	Key=A	13	0	0
17	Esus2add7	13	0	0
18	E7	13	3/8	3/8
19	Key=D	14	0	0
20	Asus2	14	0	0
21	A	14	1/8	1/8
22	Asus2add7	15	0	0
23	A7	15	1/8	1/8
24	D	16	0	0
25	A7	18	0	0
26	D	19	0	0
27	G6	22	0	0
28	G	22	1/8	1/8
29	Key=b	23	0	0
30	F#	23	0	0
31	F#7	24	0	0
32	Bsus4	26	0	0
33	Key=D	29	0	0
34	A7	29	0	0
35	D	30	0	0
36	Key=b	32	0	0
37	F#	32	0	0
38	Em	33	0	0
39	F#7	34	0	0
40	Bm	35	0	0
41	F#7	36	0	0
42	Bsus4	37	0	0
43	F#7	38	0	0
44	Bm	39	0	0
45	Em	41	0	0
46	F#7	42	0	0
47	Bm	43	0	0
48	C#o	44	0	0
49	Bm	45	0	0
50	E#o7	46	0	0
51	F#7	46	1/2	1/2
52	Bm	47	0	0
53	G	49	0	0
54	Key=A	49	1/2	1/2
55	G#o/B	49	1/2	1/2
56	Key=b	50	0	0
57	E-6	50	0	0
58	Key=D	52	1/2	1/2
59	D	52	1/2	1/2
60	Key=G	53	0	0
61	D7	53	0	0
62	Key=D	53	1/2	1/2
63	A	53	1/2	1/2
64	Key=G	54	0	0
65	D	54	0	0
66	G	55	0	0
67	D7	56	0	0
68	G	57	0	0
69	Key=b	57	1/2	1/2
70	G/B	57	1/2	1/2
71	F#7	58	0	0
72	Bm	59	0	0
73	F#m	60	1/2	1/2
74	Key=F#	61	0	0
75	C#7sus4	61	0	0
76	Key=b	62	0	0
77	F#7	62	0	0
78	Bm	63	0	0
79	Key=G	64	0	0
80	Dsus2add7	64	0	0
81	D7	64	1/8	1/8
82	G	65	0	0
83	C	67	0	0
84	Key=C	68	0	0
85	G6	68	0	0
86	C6	69	0	0
87	F	69	1/2	1/2
88	Key=F	70	0	0
89	C7/B-	70	0	0
90	Key=C	71	0	0
91	F	71	0	0
92	C	72	1/2	1/2
93	Key=E	73	0	0
94	B7	73	0	0
95	Key=e	73	1/2	1/2
96	B	73	1/2	1/2
97	Key=G	74	0	0
98	B7	74	0	0
99	Key=D	75	0	0
100	A7/G	75	0	0
101	Key=G	76	0	0
102	D	76	0	0
103	G6	77	0	0
104	D7	78	0	0
105	G	79	0	0
