	label	mc	mc_onset	mn_onset
0	Key=C	0	0	0
1	C	0	0	0
2	G	2	1/2	1/2
3	C	3	0	0
4	Key=G	5	0	0
5	F#o	5	0	0
6	D	5	1/2	1/2
7	Key=D	8	0	0
8	A	8	0	0
9	G	10	1/2	1/2
10	Key=G	11	0	0
11	D/F#	11	0	0
12	Key=D	11	1/2	1/2
13	Em	11	1/2	1/2
14	Key=b	12	0	0
15	F#	12	0	0
16	Key=D	13	0	0
17	A	13	0	0
18	Key=b	13	1/2	1/2
19	A#o	13	1/2	1/2
20	Bm	14	0	0
21	Key=G	18	1/2	1/2
22	G	18	1/2	1/2
23	D	19	0	0
24	Key=e	19	1/2	1/2
25	E	19	1/2	1/2
26	C	20	0	0
27	Key=G	21	0	0
28	Em	21	0	0
29	G	24	0	0
30	F#o	25	1/2	1/2
31	D	26	0	0
32	Gsus4/B	27	0	0
33	F#o/A	27	1/2	1/2
34	Em	28	0	0
35	D	35	0	0
36	D7/C	36	0	0
37	Key=D	37	0	0
38	A	37	0	0
39	Key=e	40	1/2	1/2
40	E	40	1/2	1/2
41	Key=D	41	0	0
42	Em	41	0	0
43	D/F#	43	0	0
44	Key=A	43	1/2	1/2
45	E	43	1/2	1/2
46	Key=D	44	0	0
47	D	44	0	0
48	Key=A	44	1/2	1/2
49	G#o/B	44	1/2	1/2
50	Key=D	45	0	0
51	A/C#	45	0	0
52	Key=A	48	1/2	1/2
53	E	48	1/2	1/2
54	Key=D	49	0	0
55	Em	49	0	0
56	D	51	0	0
57	Key=G	52	0	0
58	D7/C	52	0	0
59	Key=D	53	0	0
60	A	53	0	0
61	Key=a	56	1/2	1/2
62	E	56	1/2	1/2
63	Key=G	57	0	0
64	F	57	0	0
65	Key=C	57	1/2	1/2
66	E	57	1/2	1/2
67	Key=G	58	0	0
68	G/B	58	0	0
69	G	60	1/2	1/2
70	D	61	0	0
71	G	64	0	0
72	Key=C	65	0	0
73	A	65	0	0
74	C	66	0	0
75	G/B	68	0	0
76	Am	69	0	0
77	C/E	70	0	0
78	F	73	0	0
79	Am	75	1/8	1/8
80	Gsus4/B	76	0	0
81	Key=G	77	0	0
82	F#o/A	77	0	0
83	Gsus2	78	0	0
84	G	78	1/8	1/8
85	Key=C	79	0	0
86	G7	79	0	0
87	G	80	0	0
88	Key=G	81	0	0
89	F#o/A	81	0	0
90	Key=C	82	0	0
91	F/A	82	0	0
92	Gsus4/B	84	0	0
93	G/B	84	3/8	3/8
94	Am	85	0	0
95	G	86	0	0
96	C/E	86	1/4	1/4
97	E	88	0	0
98	Dm/F	89	0	0
99	E	90	0	0
100	G	91	0	0
101	C	92	1/2	1/2
102	G	93	0	0
103	C	94	0	0
