	label	mc	mc_onset	mn_onset
0	Key=C	0	0	1/4
1	G	0	0	1/4
2	C	1	0	0
3	Bo7/F	4	0	0
4	C	5	0	0
5	G7	6	0	0
6	C6	8	0	0
7	G7	8	1/4	1/4
8	C	9	0	0
9	Key=F	11	0	0
10	C76	11	0	0
11	C7	11	1/16	1/16
12	Key=C	12	0	0
13	F	12	0	0
14	Key=G	13	0	0
15	F#o	13	0	0
16	Key=C	13	1/4	1/4
17	Cm/G	13	1/4	1/4
18	C6	14	0	0
19	Key=G	15	0	0
20	Dsus2add7/F#	15	0	0
21	D7/F#	15	1/16	1/16
22	Key=C	15	1/4	1/4
23	G7	15	1/4	1/4
24	C	16	0	0
25	Key=G	16	1/4	1/4
26	D7	16	1/4	1/4
27	Key=C	17	0	0
28	G6	17	0	0
29	Key=a	19	1/4	1/4
30	G#o	19	1/4	1/4
31	Key=C	20	0	0
32	Am	20	0	0
33	Key=a	20	1/4	1/4
34	E7	20	1/4	1/4
35	Esus2add7	21	0	0
36	E7	21	3/16	3/16
37	Key=C	22	0	0
38	Asus4	22	0	0
39	Key=G	23	0	0
40	D7	23	0	0
41	Key=C	24	0	0
42	G	24	0	0
43	Key=a	27	0	0
44	Esus2add7/G#	27	0	0
45	E7/G#	27	1/16	1/16
46	Key=C	28	0	0
47	Am	28	0	0
48	Key=G	29	0	0
49	F#ø7/C	29	0	0
50	Key=d	29	1/4	1/4
51	C#o	29	1/4	1/4
52	Key=C	30	0	0
53	G	30	0	0
54	Key=d	31	0	0
55	A	31	0	0
56	Key=G	31	1/4	1/4
57	D7	31	1/4	1/4
58	Key=C	32	0	0
59	G	32	0	0
60	G7	32	1/4	1/4
61	C/G	33	0	0
62	Dm7/F	35	0	0
63	Key=F	37	0	0
64	F	37	0	0
65	Gm	38	0	0
66	B-/F	39	0	0
67	Eo/G	39	1/4	1/4
68	Eø7	40	0	0
69	C7	40	1/4	1/4
70	Dm/F	42	0	0
71	C	43	0	0
72	Key=d	43	1/4	1/4
73	Eø7/B-	43	1/4	1/4
74	A	44	0	0
75	Dm	45	0	0
76	A7/G	46	0	0
77	Key=F	47	0	0
78	B-/D	47	0	0
79	Eo7/B-	47	1/4	1/4
80	F/A	48	0	0
81	Gm	49	0	0
82	C7	49	1/4	1/4
83	F	50	0	0
84	Key=C	50	1/4	1/4
85	Gsus4	50	1/4	1/4
