	label	mc	mc_onset	mn_onset
0	Key=C	0	0	0
1	C	0	0	0
2	G	1	0	0
3	Dm/F	1	1/4	1/4
4	G	2	0	0
5	C	3	0	0
6	Dm	5	0	0
7	Key=G	6	0	0
8	D	6	0	0
9	Key=C	6	1/4	1/4
10	Bo	6	1/4	1/4
11	C/E	7	0	0
12	Key=G	8	1/4	1/4
13	Am/C	8	1/4	1/4
14	F#o	9	0	0
15	F	9	1/4	1/4
16	D	10	0	0
17	Key=C	10	1/4	1/4
18	Bo/F	10	1/4	1/4
19	Key=G	11	0	0
20	C	11	0	0
21	F#o	12	0	0
22	Key=C	13	0	0
23	G7	13	0	0
24	Key=G	14	0	0
25	D/A	14	0	0
26	C	14	1/4	1/4
27	Am/C	15	1/4	1/4
28	G/B	16	0	0
29	Key=a	17	0	0
30	G#o	17	0	0
31	Key=e	18	0	0
32	Em	18	0	0
33	D#o	19	0	0
34	B	19	1/4	1/4
35	B/D#	20	1/4	1/4
36	Key=D	21	0	0
37	A7/C#	21	0	0
38	Key=G	22	0	0
39	D/F#	22	0	0
40	Key=e	23	0	0
41	Bsus4/D#	23	0	0
42	B	23	1/4	1/4
43	Key=D	25	0	0
44	C#o	25	0	0
45	Key=G	25	1/4	1/4
46	Am/C	25	1/4	1/4
47	Key=e	26	0	0
48	B	26	0	0
49	Key=D	27	0	0
50	A7	27	0	0
51	Key=G	27	1/4	1/4
52	G	27	1/4	1/4
53	Key=D	28	0	0
54	C#o	28	0	0
55	Key=G	29	0	0
56	D	29	0	0
57	Em/G	30	1/4	1/4
58	F	32	1/16	1/16
59	D7/C	32	1/4	1/4
60	G	33	0	0
61	Em	33	1/4	1/4
62	D7	34	1/4	1/4
63	Dm	35	0	0
64	D7add-3	35	1/4	1/4
65	Key=C	37	0	0
66	C	37	0	0
67	F	39	0	0
68	Dm7	39	1/4	1/4
69	Key=G	41	0	0
70	D	41	0	0
71	Key=C	41	1/4	1/4
72	E-5	41	1/4	1/4
73	Key=D	42	1/4	1/4
74	A7	42	1/4	1/4
75	Key=G	43	0	0
76	G	43	0	0
77	Key=D	44	0	0
78	C#o	44	0	0
79	Key=G	45	0	0
80	D7	45	0	0
81	Key=C	46	1/4	1/4
82	C/E	46	1/4	1/4
83	F	47	0	0
84	Csus4	47	1/4	1/4
