	label	mc	mc_onset	mn_onset
0	Key=F	0	1/16	5/16
1	F	0	1/16	5/16
2	C7/E	1	0	0
3	F	2	0	0
4	F7/C	3	0	0
5	Go/B-	4	0	0
6	C	4	1/4	1/4
7	F/A	6	0	0
8	F/C	7	1/4	1/4
9	A/C#	8	0	0
10	Key=d	9	0	0
11	C#o/E	9	0	0
12	Key=g	9	1/4	1/4
13	D/F#	9	1/4	1/4
14	Key=F	10	0	0
15	Gm	10	0	0
16	Key=Bb	12	0	0
17	Ao	12	0	0
18	Key=F	13	0	0
19	B-/D	13	0	0
20	Eo	13	1/4	1/4
21	F/A	14	0	0
22	Key=g	15	0	0
23	Ao	15	0	0
24	D	15	1/4	1/4
25	Gm/B-	16	0	0
26	Key=F	17	1/4	1/4
27	Gm	17	1/4	1/4
28	Key=g	18	0	0
29	D7/A	18	0	0
30	Key=F	18	1/4	1/4
31	F/C	18	1/4	1/4
32	D	19	0	0
33	Eo	19	1/4	1/4
34	F	20	0	0
35	Csus4	20	1/4	1/4
36	Key=C	21	0	0
37	G7/B	21	0	0
38	Key=F	22	0	0
39	Eo	22	0	0
40	Key=d	23	0	0
41	A/C#	23	0	0
42	Key=F	23	1/4	1/4
43	Am	23	1/4	1/4
44	Key=a	24	0	0
45	Dm/F	24	0	0
46	Key=d	25	0	0
47	A	25	0	0
48	Key=C	25	1/4	1/4
49	Am	25	1/4	1/4
50	G	26	0	0
51	C/E	26	1/4	1/4
52	Dm	27	0	0
53	G/B	28	0	0
54	Key=F	29	0	0
55	C	29	0	0
56	F	30	0	0
57	Key=Bb	31	0	0
58	F7/A	31	0	0
59	F7/E-	31	1/4	1/4
60	B-/D	32	0	0
61	Key=g	33	0	0
62	F#o	33	0	0
63	D7	33	1/4	1/4
64	Key=F	34	0	0
65	Gm/B-	34	0	0
66	C7/E	35	0	0
67	F	36	0	0
68	Key=C	37	0	0
69	G	37	0	0
70	Key=g	37	1/4	1/4
71	Cm	37	1/4	1/4
72	Key=F	38	0	0
73	Dm	38	0	0
74	Key=Bb	39	0	0
75	F7/A	39	0	0
76	Key=g	39	1/4	1/4
77	E-	39	1/4	1/4
78	Key=Bb	40	0	0
79	B-/D	40	0	0
80	Key=g	41	0	0
81	F#o	41	0	0
82	Cm	41	1/4	1/4
83	Key=c	42	0	0
84	G/B	42	0	0
85	Key=F	43	0	0
86	C7/E	43	0	0
87	F	44	0	0
88	F7/C	45	0	0
89	Go/B-	46	0	0
90	C	46	1/4	1/4
