	label	mc	mc_onset	mn_onset
0	Key=d	0	0	1/2
1	B-/D	0	0	1/2
2	Dm	1	0	0
3	Key=Bb	2	1/4	1/4
4	B-	2	1/4	1/4
5	Key=g	4	1/4	1/4
6	Gm	4	1/4	1/4
7	E-	6	1/4	1/4
8	D	8	1/2	1/2
9	Key=Bb	9	0	0
10	F	9	0	0
11	Key=g	10	1/4	1/4
12	Gm	10	1/4	1/4
13	F#o	12	1/4	1/4
14	D	13	0	0
15	Key=Bb	15	0	0
16	B-	15	0	0
17	D	16	0	0
18	F	18	1/4	1/4
19	B-	19	0	0
20	Key=g	20	1/4	1/4
21	F#o	20	1/4	1/4
22	Key=Eb	21	0	0
23	Fm/A-	21	0	0
24	Key=g	22	1/8	1/8
25	D/F#	22	1/8	1/8
26	E-	24	0	0
27	D/F#	26	1/8	1/8
28	E-	26	1/2	1/2
29	D	28	0	0
30	Gm	29	1/2	1/2
31	D	30	0	0
32	Key=Bb	31	0	0
33	Gm	31	0	0
34	F	32	1/2	1/2
35	E-/G	33	0	0
36	F	34	1/8	1/8
37	B-+6	37	0	0
38	G/B	37	1/4	1/4
39	F	38	0	0
40	Cm/E-	38	1/2	1/2
41	F	39	0	0
42	B-	40	0	0
43	Cm/E-	41	0	0
44	F	42	1/8	1/8
45	B-	44	1/8	1/8
46	Key=d	46	0	0
47	Eo	46	0	0
48	A/C#add-5	46	1/4	1/4
49	Dm	47	0	0
50	Key=Bb	49	0	0
51	Cm	49	0	0
52	F	50	1/8	1/8
53	B-+6	53	0	0
54	Key=c	53	1/4	1/4
55	Bo	53	1/4	1/4
56	Key=Bb	54	0	0
57	F	54	0	0
58	E-	54	1/2	1/2
59	B-	55	0	0
60	F	56	0	0
61	Key=c	56	1/2	1/2
62	G	56	1/2	1/2
63	A-	57	0	0
64	G	57	1/2	1/2
65	Bo/D	59	0	0
66	C	59	1/2	1/2
67	G/B	60	0	0
68	Key=Bb	60	1/4	1/4
69	Cm/E-	60	1/4	1/4
70	B-/D	61	0	0
71	F7/C	62	0	0
72	Ao/C	63	0	0
73	Key=D	64	0	0
74	B-	64	0	0
75	Key=G	64	1/2	1/2
76	G/B	64	1/2	1/2
77	G	66	1/4	1/4
78	D	69	0	0
79	Key=C	70	0	0
80	G	70	0	0
81	Key=a	71	0	0
82	C	71	0	0
83	E	71	1/2	1/2
84	Am	72	0	0
85	G#o	73	0	0
86	Am	74	1/8	1/8
87	E	74	1/2	1/2
88	Am	76	1/8	1/8
89	Key=G	77	0	0
90	F#o7	77	0	0
91	Key=D	78	0	0
92	D	78	0	0
93	C#o7	79	0	0
94	Bm	81	0	0
95	Key=G	82	0	0
96	G	82	0	0
97	Key=a	85	0	0
98	E	85	0	0
99	Key=G	86	0	0
100	D	86	0	0
101	Key=a	86	1/2	1/2
102	C	86	1/2	1/2
103	G/B	87	0	0
104	Am	87	1/4	1/4
105	A	88	0	0
106	E	88	1/4	1/4
107	Key=b	89	0	0
108	A#o7/C#	89	0	0
109	Key=a	92	1/8	1/8
110	Bm	92	1/8	1/8
111	E	93	0	0
112	Key=G	93	1/2	1/2
113	Am/C	93	1/2	1/2
114	D/F#	94	0	0
115	F#m	94	1/4	1/4
116	B	94	1/2	1/2
117	G/B	95	0	0
118	Key=D	96	0	0
119	Dsus4	96	0	0
