	label	mc	mc_onset	mn_onset
0	Key=a	0	0	0
1	C	0	0	0
2	Key=E	1	0	0
3	B/D#	1	0	0
4	Key=a	3	0	0
5	E/G#	3	0	0
6	Am	4	0	0
7	Key=E	6	0	0
8	B7/D#	6	0	0
9	Key=a	7	0	0
10	E	7	0	0
11	C	8	0	0
12	Key=E	9	0	0
13	D#o7/A	9	0	0
14	Key=a	10	0	0
15	E	10	0	0
16	Am	12	0	0
17	E	13	0	0
18	Am/C	13	1/4	1/4
19	A	15	0	0
20	Key=G	16	0	0
21	G	16	0	0
22	D/F#	17	0	0
23	Key=d	18	1/4	1/4
24	Dm/F	18	1/4	1/4
25	Gm	19	0	0
26	C#o7	20	0	0
27	Dm	21	0	0
28	C#o	22	0	0
29	Key=A	22	1/4	1/4
30	E	22	1/4	1/4
31	G/B	23	0	0
32	Key=G	23	1/4	1/4
33	D7/C	23	1/4	1/4
34	Key=A	24	0	0
35	A	24	0	0
36	A/C#	25	0	0
37	A	26	0	0
38	G#o/D	26	1/4	1/4
39	A	27	0	0
40	G#o/D	27	1/4	1/4
41	E	28	0	0
42	Key=E	30	0	0
43	D#ø7	30	0	0
44	Key=A	31	0	0
45	E	31	0	0
46	A/C#	33	0	0
47	A	34	0	0
48	F#m	34	1/4	1/4
49	C#/E#	35	0	0
50	D	36	0	0
51	C#	36	1/4	1/4
52	E/G#	37	0	0
53	A/C#	38	0	0
54	Bm	39	0	0
55	E	39	1/4	1/4
56	A	40	0	0
