	label	mc	mc_onset	mn_onset
0	Key=G	0	0	0
1	G	0	0	0
2	Key=C	1	0	0
3	Bo	1	0	0
4	Key=G	2	0	0
5	G/B	2	0	0
6	Key=a	2	1/4	1/4
7	G#o	2	1/4	1/4
8	Key=G	3	0	0
9	G	3	0	0
10	F#o	4	0	0
11	D/F#	4	1/4	1/4
12	A	5	1/4	1/4
13	G/B	6	0	0
14	Key=e	6	1/4	1/4
15	D#o	6	1/4	1/4
16	Em	7	0	0
17	B/D#	7	1/4	1/4
18	Em	8	0	0
19	C	9	0	0
20	B	9	1/4	1/4
21	F#o7	10	0	0
22	B	11	0	0
23	Key=G	11	1/4	1/4
24	Am	11	1/4	1/4
25	D7/C	12	0	0
26	Am	12	1/4	1/4
27	F#o	13	0	0
28	Dm/F	13	1/4	1/4
29	Key=e	14	0	0
30	Bsus4	14	0	0
31	Key=G	15	1/4	1/4
32	C	15	1/4	1/4
33	D	16	0	0
34	A/C#	17	0	0
35	Em	17	1/4	1/4
36	D7/C	18	0	0
37	G/B	19	0	0
38	Key=a	20	0	0
39	G#o	20	0	0
40	Bo	21	0	0
41	G#o	21	1/4	1/4
42	Key=B	22	0	0
43	F#/A#	22	0	0
44	B/D#	23	0	0
45	A#o	23	1/4	1/4
46	E/G#	24	0	0
47	F#	25	0	0
48	F#m/A	26	0	0
49	Key=e	27	0	0
50	B/D#	27	0	0
51	F#7/E	27	1/4	1/4
52	Am/C	28	0	0
53	Em	29	0	0
54	G/B	30	0	0
55	Key=G	30	1/4	1/4
56	Em	30	1/4	1/4
57	Em/G	31	0	0
58	G	31	1/4	1/4
59	Em	32	0	0
60	G	33	0	0
61	Dm/F	34	0	0
62	G	34	1/4	1/4
63	Dm/F	36	0	0
64	G	36	1/4	1/4
65	Key=D	37	0	0
66	C#o	37	0	0
67	A	37	1/4	1/4
68	Key=G	38	0	0
69	D/F#	38	0	0
70	D	39	0	0
71	Am	39	1/4	1/4
72	G	40	0	0
73	C/E	40	1/4	1/4
74	G	41	0	0
75	Dm/F	42	0	0
76	D/F#	42	1/4	1/4
77	G/B	43	0	0
78	Em	43	1/4	1/4
79	Key=C	44	0	0
80	G	44	0	0
81	C	45	0	0
82	Fm	45	1/4	1/4
83	C/E	46	0	0
84	F	47	0	0
85	G	47	1/4	1/4
86	C	48	0	0
