	label	mc	mc_onset	mn_onset
0	Key=D	0	0	0
1	D	0	0	0
2	A	1	0	0
3	D	2	0	0
4	Key=b	3	0	0
5	F#	3	0	0
6	F#7/E	3	1/2	1/2
7	Em	4	0	0
8	Bm	4	3/4	3/4
9	Key=D	5	0	0
10	Em/B	5	0	0
11	A	6	0	0
12	D	8	0	0
13	A	8	3/4	3/4
14	G	10	0	0
15	Em/G	10	1/2	1/2
16	D/F#	11	0	0
17	E	12	1/8	1/8
18	A7/C#	12	1/4	1/4
19	D	13	0	0
20	A/C#	14	0	0
21	D	15	0	0
22	Key=A	16	1/8	1/8
23	E	16	1/8	1/8
24	Key=f#	17	0	0
25	C#	17	0	0
26	C#7/E#	17	1/2	1/2
27	F#m	18	0	0
28	Key=A	20	0	0
29	E	20	0	0
30	E/G#	21	0	0
31	A	21	1/4	1/4
32	Key=b	21	1/2	1/2
33	A#o	21	1/2	1/2
34	Key=A	21	3/4	3/4
35	Bm	21	3/4	3/4
36	E7	22	0	0
37	A	23	0	0
38	Key=f#	25	0	0
39	C#/E#	25	0	0
40	C#7	25	3/4	3/4
41	F#m	27	0	0
42	D	29	0	0
43	D/F#	29	3/4	3/4
44	C#	30	0	0
45	F#m	30	1/2	1/2
46	Key=D	31	0	0
47	A	31	0	0
48	D	32	0	0
49	D/F#	33	0	0
50	G	33	5/8	5/8
51	A	33	3/4	3/4
52	Key=A	34	0	0
53	E	34	0	0
54	Key=G	34	5/8	5/8
55	F#o/A	34	5/8	5/8
56	Key=D	35	0	0
57	D	35	0	0
58	Key=e	36	1/4	1/4
59	D#o	36	1/4	1/4
60	Key=G	36	1/2	1/2
61	C	36	1/2	1/2
62	D	37	1/2	1/2
63	Key=e	38	1/4	1/4
64	D#o	38	1/4	1/4
65	C	38	1/2	1/2
66	B	39	0	0
67	Key=D	39	1/2	1/2
68	D	39	1/2	1/2
69	Key=E	40	3/4	3/4
70	D/F#	40	3/4	3/4
71	D#o/F#	41	0	0
72	E/G#	41	5/8	5/8
73	E	42	0	0
74	B	42	5/8	5/8
75	B/D#	44	0	0
76	Key=G	45	0	0
77	D	45	0	0
78	Key=E	45	3/4	3/4
79	D#o	45	3/4	3/4
80	B	46	0	0
81	Key=D	46	1/2	1/2
82	D	46	1/2	1/2
