	label	mc	mc_onset	mn_onset
0	Key=g	0	0	1/2
1	D	0	0	1/2
2	Gm	1	0	0
3	D7	2	0	0
4	Gm	3	0	0
5	D76	4	0	0
6	Gm	5	0	0
7	Key=c	6	0	0
8	G7	6	0	0
9	Key=g	7	0	0
10	Cm	7	0	0
11	D	8	1/2	1/2
12	E-	9	0	0
13	D	11	0	0
14	Cm	13	0	0
15	D7	14	0	0
16	Gm	15	0	0
17	D7	16	0	0
18	Gm	17	0	0
19	D7	18	0	0
20	Gm	19	0	0
21	D76	20	0	0
22	Key=c	21	0	0
23	Bo7/F	21	0	0
24	Gsus2add7	22	0	0
25	G7	22	1/8	1/8
26	Key=g	24	0	0
27	Cm	24	0	0
28	Key=Bb	26	0	0
29	Fsus2add7/C	26	0	0
30	F7/C	26	1/2	1/2
31	Key=g	27	0	0
32	E-/G	27	0	0
33	Gm	28	0	0
34	A7	29	0	0
35	D7	30	0	0
36	Gm	31	0	0
37	Key=Bb	32	1/2	1/2
38	F	32	1/2	1/2
39	F7	33	0	0
40	F	35	0	0
41	B-	36	0	0
42	G#o	37	0	0
43	F7	38	0	0
44	Gm	39	0	0
45	B-sus2	40	0	0
46	B-	40	1/8	1/8
47	F7	41	0	0
48	B-	43	0	0
49	Gm7/B-	44	0	0
50	Key=d	45	0	0
51	Asus2	45	0	0
52	A76	46	0	0
53	A7add-5	46	1/8	1/8
54	Key=g	47	0	0
55	Dm	47	0	0
56	Key=Bb	49	0	0
57	F7	49	0	0
58	B-/D	51	0	0
59	B-	52	0	0
60	G#o/B	53	0	0
61	F	54	0	0
62	Key=F	55	0	0
63	Eo	55	0	0
64	Key=Bb	56	0	0
65	B-	56	0	0
66	Key=F	57	0	0
67	C-6	57	0	0
68	Key=c	58	0	0
69	G7	58	0	0
70	Key=Bb	59	0	0
71	Cm/E-	59	0	0
72	B-6	61	0	0
73	F7	62	0	0
74	B-sus2	63	0	0
75	Key=g	64	0	0
76	B-/D	64	0	0
77	G	65	0	0
78	D7+6	66	0	0
79	Key=G	67	0	0
80	D	67	0	0
81	Em	70	0	0
82	Am	71	0	0
83	D7	75	0	0
84	G	77	0	0
85	D	78	0	0
86	Key=D	79	0	0
87	C#o7	79	0	0
88	Key=G	80	0	0
89	G	80	0	0
90	D7	82	0	0
91	G	83	0	0
92	Key=C	85	0	0
93	Fm7	85	0	0
94	Key=G	86	0	0
95	Am	86	0	0
96	C	88	0	0
97	Key=D	89	0	0
98	C#o7/B-	89	0	0
99	C#o7	90	0	0
100	Key=G	91	0	0
101	G	91	0	0
102	Key=a	92	0	0
103	E7	92	0	0
104	Key=D	93	0	0
105	A7	93	0	0
106	Key=G	94	0	0
107	D7sus4	94	0	0
108	G	95	0	0
