	label	mc	mc_onset	mn_onset
0	Key=F	0	0	0
1	C	0	0	0
2	Key=C	1	0	0
3	Bo	1	0	0
4	Key=F	2	0	0
5	B-	2	0	0
6	C7/B-	3	0	0
7	F/A	4	0	0
8	Key=C	5	0	0
9	G	5	0	0
10	Key=F	6	0	0
11	F/A	6	0	0
12	C	7	1/4	1/4
13	Key=C	8	0	0
14	G	8	0	0
15	Key=F	9	0	0
16	F	9	0	0
17	Key=d	10	0	0
18	B-	10	0	0
19	Gm	11	1/4	1/4
20	A	12	0	0
21	Dm	13	0	0
22	A/C#	14	1/2	1/2
23	Am	15	0	0
24	Key=C	15	1/2	1/2
25	B-	15	1/2	1/2
26	Key=F	16	0	0
27	C	16	0	0
28	Key=C	17	0	0
29	G/B	17	0	0
30	B-	18	0	0
31	Key=F	19	1/4	1/4
32	C	19	1/4	1/4
33	Key=C	20	0	0
34	Am	20	0	0
35	G	21	0	0
36	F/A	22	0	0
37	C	23	1/4	1/4
38	G	24	0	0
39	Key=d	25	0	0
40	F	25	0	0
41	A/C#	25	1/2	1/2
42	Dm	26	0	0
43	A	27	1/2	1/2
44	Key=F	28	0	0
45	Dm	28	0	0
46	B-	28	1/2	1/2
47	F/A	29	0	0
48	Key=C	29	1/2	1/2
49	G	29	1/2	1/2
50	Key=F	30	0	0
51	F	30	0	0
52	Key=C	32	0	0
53	G/D	32	0	0
54	Key=F	33	0	0
55	C	33	0	0
56	F/A	34	0	0
57	Key=g	35	0	0
58	Gm	35	0	0
59	D	36	0	0
60	Key=F	37	0	0
61	C	37	0	0
62	Key=g	39	0	0
63	D	39	0	0
64	Key=F	40	0	0
65	Gm/D	40	0	0
66	C	41	0	0
67	F/A	42	0	0
68	Gm	43	0	0
69	B-/D	44	0	0
70	C/E	44	1/2	1/2
71	Key=Bb	45	0	0
72	F	45	0	0
73	B-	47	0	0
74	Key=g	47	1/2	1/2
75	D	47	1/2	1/2
76	Gm	48	0	0
77	D	48	1/2	1/2
78	Key=Bb	49	0	0
79	F	49	0	0
80	B-	50	1/4	1/4
81	Key=g	51	1/2	1/2
82	D	51	1/2	1/2
83	Gm	52	0	0
84	E-	55	0	0
85	Key=Bb	55	1/2	1/2
86	D	55	1/2	1/2
87	F	56	0	0
88	F/A	58	1/4	1/4
89	Key=F	58	1/2	1/2
90	C	58	1/2	1/2
91	Key=Bb	59	0	0
92	E-	59	0	0
93	Key=F	59	1/2	1/2
94	Eo/G	59	1/2	1/2
95	Key=Bb	60	0	0
96	F/A	60	0	0
97	B-	61	0	0
98	Gm	61	1/2	1/2
99	F	62	0	0
100	E-	62	1/4	1/4
101	B-	63	0	0
102	Key=g	63	1/2	1/2
103	D	63	1/2	1/2
104	Gm	64	0	0
105	D	64	1/2	1/2
106	Key=Bb	65	0	0
107	F	65	0	0
108	Key=g	66	1/4	1/4
109	B-/D	66	1/4	1/4
110	Key=Bb	66	1/2	1/2
111	Cm	66	1/2	1/2
112	B	67	0	0
113	Key=g	67	1/2	1/2
114	D	67	1/2	1/2
115	Key=Bb	68	0	0
116	Dm	68	0	0
117	Gm	68	1/2	1/2
118	F	69	0	0
119	E-	70	0	0
120	Key=F	71	0	0
121	E-/G	71	0	0
122	C	72	0	0
123	Key=Bb	73	0	0
124	F	73	0	0
125	B-	74	1/4	1/4
126	Gm	75	0	0
127	F	75	1/2	1/2
128	E-	76	0	0
129	Key=F	76	1/2	1/2
130	C	76	1/2	1/2
131	Key=Bb	77	0	0
132	B-	77	0	0
