	label	mc	mc_onset	mn_onset
0	Key=C	0	0	5/16
1	C	0	0	5/16
2	G7	1	0	0
3	C	2	0	0
4	G7	3	0	0
5	C	4	0	0
6	G7	5	0	0
7	Key=a	5	1/4	1/4
8	E7/B	5	1/4	1/4
9	Key=C	6	0	0
10	Am	6	0	0
11	Em	7	0	0
12	Key=e	7	1/4	1/4
13	B	7	1/4	1/4
14	Key=C	8	0	0
15	Em	8	0	0
16	G7	9	0	0
17	C	10	0	0
18	G7	11	0	0
19	C	12	0	0
20	C7/G	12	1/4	1/4
21	Dm7/F	13	0	0
22	C#m7/E	14	0	0
23	Key=d	14	1/4	1/4
24	A7/G	14	1/4	1/4
25	Key=C	15	0	0
26	Bm7	15	0	0
27	G7	15	1/4	1/4
28	C	16	0	0
29	Am	17	0	0
30	Key=a	18	0	0
31	B-	18	0	0
32	E	19	0	0
33	Key=E	23	0	0
34	F#7	23	0	0
35	B7sus4	23	1/4	1/4
36	Key=a	24	0	0
37	E7/G#	24	0	0
38	Am	25	0	0
39	B-	26	0	0
40	E7/G#	27	0	0
41	Key=d	28	0	0
42	A7	28	0	0
43	Key=a	29	0	0
44	Dm	29	0	0
45	Am	30	0	0
46	E7	31	0	0
47	Am	32	0	0
48	Key=F	33	0	0
49	C	33	0	0
50	C76	34	0	0
51	C	35	0	0
52	Csus4	35	1/16	1/16
53	C7	36	0	0
54	F	37	0	0
55	C76	38	0	0
56	Fsus2	39	0	0
57	F	39	1/16	1/16
58	C	40	0	0
59	Key=C	40	1/4	1/4
60	G7	40	1/4	1/4
61	Key=F	41	0	0
62	C	41	0	0
63	C76	42	0	0
64	Fsus2	43	0	0
65	F	43	1/16	1/16
66	C7	44	0	0
67	F	45	0	0
68	Key=g	46	0	0
69	F#o7/C	46	0	0
70	Key=F	47	0	0
71	Gm	47	0	0
72	Key=C	47	1/4	1/4
73	Bø7	47	1/4	1/4
74	Key=F	48	0	0
75	F	48	0	0
76	C7	48	1/4	1/4
77	F	49	0	0
