1,1,7,C,I,M,0
4,7,9,C,IV,m,0
5,9,11,C,II,D7,0
6,11,15,C,V,D7,0
8,15,16,C,I,M,0
8,16,17,C,V,D7,0
9,17,21,C,I,M,0
11,21,23,C,I,D7,0
12,23,25,C,IV,M,0
13,25,26,C,IV,M,0
13,26,27,C,bV,d,0
14,27,29,C,I,M,0
15,29,30,C,II,D7,0
15,30,31,C,V,D7,0
16,31,32,C,I,M,0
16,32,33,C,V,D7,0
17,33,34,D,bVII,M,0
17,34,35,D,I,M,0
18,35,39,D,IV,M,0
20,39,40,D,IV,M,0
20,40,41,D,II,D7,0
21,41,42,D,V,m,0
21,42,43,D,II,D7,0
22,43,44,D,V,m,0
22,44,45,D,II,D7,0
23,45,47,D,V,m,0
24,47,49,D,I,D7,0
25,49,50,D,IV,M,0
25,50,51,D,I,M,0
26,51,55,D,IV,M,0
28,55,57,D,II,D7,0
29,57,59,D,V,m,0
30,59,60,D,bVII,M,0
30,60,61,D,VII,d,0
31,61,63,D,IV,M,0
32,63,64,D,V,D7,0
32,64,65,D,I,D7,0
33,65,66,D,IV,M,0
33,66,67,D,I,M,0
34,67,68,D,IV,M,0
34,68,69,D,IV,D7,0
35,69,71,D,bVII,M,0
37,71,75,F,I,M,0
39,75,77,F,I,M,0
40,77,79,F,II,m,0
41,79,80,F,II,m,0
41,80,81,F,II,m,0
42,81,82,F,VII,h7,0
42,82,83,F,II,m,0
43,83,85,F,V,D7,0
44,85,87,F,I,M,0
45,87,88,F,I,M,0
45,88,89,F,IV,D7,0
46,89,91,F,III,D7,0
47,91,93,F,VI,m,0
48,93,95,F,III,D7,0
49,95,96,F,IV,M,0
49,96,97,F,IV,m,0
50,97,99,F,I,M,0
51,99,100,F,II,m,0
51,100,101,F,V,D7,0
52,101,103,F,I,M,0
53,103,104,F,I,M,0
53,104,107,F,II,D7,0
