0,0,4,C,I,M,0
2,4,8,C,II,D7,0
4,8,12,C,V,D7,0
6,12,20,C,I,M,0
10,20,24,C,V,M,0
12,24,28,C,II,D7,0
14,28,32,C,V,D7,0
16,32,36,C,I,M,0
18,36,40,C,II,D7,0
20,40,44,C,V,D7,0
22,44,48,C,I,M,0
24,48,52,C,IV,M,0
26,52,56,C,I,M,0
28,56,58,C,II,D7,0
29,58,60,C,V,D7,0
30,60,61,C,I,M,0
30,61,62,C,V,D7,0
31,62,63,C,I,M,0
31,63,64,C,V,D7,0
32,64,65,C,I,M,0
32,65,68,C,V,D7,0
34,68,72,C,III,D7,0
36,72,76,C,VI,m,0
38,76,80,C,II,D7,0
40,80,84,C,V,M,0
42,84,88,C,IV,M,0
44,88,92,C,I,M,0
46,92,94,C,IV,M,0
47,94,96,C,V,D7,0
48,96,98,C,I,M,0
49,98,100,C,I,M,0
50,100,102,C,I,M,0
51,102,103,C,I,M,0
51,103,104,C,I,D7,0
52,104,108,C,IV,M,0
54,108,112,F,V,M,0
56,112,116,F,VI,m,0
58,116,120,F,III,D7,0
60,120,124,F,IV,M,0
62,124,128,F,I,M,0
64,128,132,F,II,D7,0
66,132,134,F,V,M,0
67,134,136,F,V,D7,0
68,136,140,F,I,M,0
70,140,144,F,V,M,0
72,144,148,F,VI,m7,0
74,148,152,F,III,D7,0
76,152,156,F,IV,M,0
78,156,160,F,I,M,0
80,160,162,F,II,D7,0
81,162,164,F,V,D7,0
82,164,165,F,I,M,0
82,165,166,F,#I,D7,0
83,166,168,F,II,D7,0
