1,1,2,Bb,IV,M,0
1,2,3,Bb,#IV,d,0
2,3,5,Bb,I,M,0
3,5,6,Bb,II,D7,0
3,6,7,Bb,V,D7,0
4,7,15/2,F,IV,M,0
4,15/2,8,F,#IV,d,0
4,8,9,F,V,D7,0
5,9,10,F,I,M,0
5,10,11,F,V,D7,0
6,11,15,F,I,M,0
8,15,18,F,II,m,0
9,18,19,F,VI,D7,0
10,19,21,F,II,m,0
11,21,23,F,V,D7,0
12,23,95/4,F,#II,d,0
12,95/4,29,F,I,M,0
15,29,31,F,VI,D7,0
16,31,33,F,II,m,0
17,33,34,F,IV,M,0
17,34,35,F,#IV,d,0
18,35,37,F,I,M,0
19,37,38,F,II,D7,0
19,38,39,F,V,D7,0
20,39,43,F,I,M,0
22,43,45,C,V,D7,0
23,45,183/4,C,#II,d,0
23,183/4,47,C,I,M,0
24,47,49,C,VI,D7,0
25,49,51,C,II,m,0
26,51,53,C,IV,M,0
27,53,55,C,I,M,0
28,55,57,C,V,D7,0
29,57,231/4,C,#II,d,0
29,231/4,65,C,I,M,0
33,65,67,Bb,V,D7,0
34,67,69,Bb,I,M,0
35,69,71,Bb,III,D7,0
36,71,73,Bb,VI,m,0
37,73,74,Bb,IV,M,0
37,74,75,Bb,#IV,d,0
38,75,77,Bb,I,M,0
39,77,79,Bb,V,D7,0
40,79,319/4,Bb,#II,d,0
40,319/4,81,Bb,I,M,0
41,81,83,Bb,V,D7,0
42,83,85,Bb,I,M,0
43,85,87,Bb,III,D7,0
44,87,89,Bb,VI,D7,0
45,89,90,Bb,IV,M,0
45,90,91,Bb,#IV,d,0
46,91,93,Bb,I,M,0
47,93,94,Bb,II,D7,0
47,94,95,Bb,V,D7,0
48,95,191/2,Bb,I,M,0
48,191/2,96,Bb,#I,d,0
48,96,97,Bb,II,D7,0
