1,3,6,C,#IV,d,0
2,6,9,C,V,D7,0
3,9,15,C,I,M,0
5,15,21,C,V,D7,0
7,21,27,C,I,M,0
9,27,30,C,#IV,d,0
10,30,33,C,V,D7,0
11,33,39,C,I,M,0
13,39,42,C,V,M,0
14,42,45,C,II,D7,0
15,45,51,C,V,M,0
17,51,54,C,#IV,d,0
18,54,57,C,V,D7,0
19,57,63,C,I,M,0
21,63,69,C,V,D7,0
23,69,75,C,I,M,0
25,75,78,C,#IV,d,0
26,78,81,C,V,D7,0
27,81,84,C,I,M,0
28,84,87,C,IV,M,0
29,87,90,C,I,M,0
30,90,93,C,V,D7,0
31,93,96,C,I,M,0
32,96,99,G,I,M,0
33,99,102,G,#IV,d,0
34,102,105,G,V,D7,0
35,105,111,G,I,M,0
37,111,117,G,V,D7,0
39,117,120,G,I,M,0
40,120,123,G,I,M,0
41,123,126,G,#IV,d,0
42,126,129,G,V,D7,0
43,129,132,G,I,M,0
44,132,135,G,bIII,d,0
45,135,138,G,I,M,0
46,138,141,G,V,D7,0
47,141,144,G,I,M,0
48,144,147,F,I,M,0
49,147,153,F,V,D7,0
51,153,159,F,I,M,0
53,159,165,F,V,D7,0
55,165,168,F,I,M,0
56,168,171,F,I,M,0
57,171,177,F,V,D7,0
59,177,180,F,I,M,0
60,180,183,F,#IV,d,0
61,183,186,F,I,M,0
62,186,189,F,V,D7,0
63,189,192,F,I,M,0
