1,2,4,d,I,m7,0
2,4,6,d,II,D7,0
3,6,8,d,V,D7,0
4,8,10,d,I,m7,0
5,10,12,d,II,D7,0
6,12,14,d,V,m7,0
7,14,16,d,II,D7,0
8,16,18,d,V,D7,0
9,18,20,d,I,m7,0
10,20,22,d,II,D7,0
11,22,24,d,V,D7,0
12,24,26,d,I,m7,0
13,26,28,d,I,D7,0
14,28,30,d,bII,D7,0
15,30,31,d,I,m,0
15,31,32,d,V,D7,0
16,32,33,d,I,m,0
16,33,34,d,V,D7,0
17,34,69/2,d,I,m,0
17,69/2,35,d,bI,D7,0
17,35,36,d,VII,D7,0
18,36,38,F,I,M,0
19,38,40,F,II,D7,0
20,40,42,F,V,D7,0
21,42,44,F,I,M,0
22,44,45,F,VI,m7,0
22,45,46,F,II,D7,0
23,46,48,F,V,M,0
24,48,50,F,II,D7,0
25,50,52,F,V,D7,0
26,52,54,F,I,M,0
27,54,56,F,II,D7,0
28,56,58,F,V,D7,0
29,58,60,F,I,M,0
30,60,62,F,I,D7,0
31,62,64,F,#I,D7,0
32,64,65,F,V,D7,0
32,65,66,F,V,D7,0
33,66,67,F,I,M,0
33,67,68,F,V,D7,0
34,68,69,F,I,M,0
34,69,70,F,III,D7,0
35,70,71,F,VI,m,0
35,71,72,F,III,D7,0
36,72,74,D,I,M,0
37,74,76,D,II,D7,0
38,76,78,D,V,D7,0
39,78,80,D,I,M,0
40,80,82,D,III,D7,0
41,82,84,D,VI,m7,0
42,84,86,D,II,D7,0
43,86,88,D,V,D7,0
44,88,90,D,I,M,0
45,90,92,D,II,D7,0
46,92,94,D,III,D7,0
47,94,95,D,VI,m7,0
47,95,96,D,bIII,D7,0
48,96,98,D,bVI,M,0
49,98,100,D,bVI,M,0
50,100,101,D,bVI,M,0
50,101,102,D,V,D7,0
51,102,103,D,I,M,0
51,103,104,D,V,D7,0
52,104,105,D,I,M,0
52,105,106,D,V,D7,0
53,106,108,D,I,M,0
