0,0,6,c,I,m,0
2,6,12,c,IV,m,0
4,12,18,c,V,D7,0
6,18,24,c,I,m,0
8,24,30,c,IV,m,0
10,30,33,c,I,m,0
11,33,36,c,V,D7,0
12,36,39,c,I,m,0
13,39,48,c,V,D7,0
16,48,54,c,I,m,0
18,54,60,c,IV,m,0
20,60,66,c,V,D7,0
22,66,72,c,I,m,0
24,72,78,c,bII,M,0
26,78,84,c,I,m,0
28,84,87,c,VI,D7,0
29,87,90,c,V,D7,0
30,90,96,c,I,m,0
32,96,102,C,I,M,0
34,102,108,C,VI,m,0
36,108,114,C,V,D7,0
38,114,117,C,I,M,0
39,117,120,C,V,D7,0
40,120,126,C,I,M,0
42,126,129,C,IV,M,0
43,129,132,C,#IV,d,0
44,132,135,C,I,M,0
45,135,138,C,V,D7,0
46,138,144,C,I,M,0
48,144,150,C,I,M,0
50,150,156,C,V,D7,0
52,156,159,C,I,M,0
53,159,162,C,bIII,d,0
54,162,166,C,V,D7,0
55,166,168,C,IV,D7,0
56,168,174,C,III,D7,0
58,174,180,C,VI,m,0
60,180,186,C,II,D7,0
62,186,189,C,V,M,0
63,189,192,C,V,D7,0
64,192,198,C,I,M,0
66,198,204,C,V,D7,0
68,204,210,C,I,M,0
70,210,214,C,V,D7,0
71,214,216,C,IV,D7,0
72,216,222,C,III,D7,0
74,222,225,C,VI,m,0
75,225,228,C,#IV,d,0
76,228,231,C,I,M,0
77,231,234,C,V,D7,0
78,234,240,C,I,M,0
