1,0,4,C,I,M,0
3,4,8,C,II,D7,0
5,8,12,C,V,D7,0
7,12,20,C,I,M,0
11,20,24,C,V,M,0
13,24,28,C,II,D7,0
15,28,32,C,V,D7,0
17,32,36,C,I,M,0
19,36,40,C,II,D7,0
21,40,44,C,V,D7,0
23,44,48,C,I,M,0
25,48,52,C,IV,M,0
27,52,56,C,I,M,0
29,56,58,C,II,D7,0
30,58,60,C,V,D7,0
31,60,61,C,I,M,0
31,61,62,C,V,D7,0
32,62,63,C,I,M,0
32,63,64,C,V,D7,0
33,64,65,C,I,M,0
33,65,68,C,V,D7,0
35,68,72,C,III,D7,0
37,72,76,C,VI,m,0
39,76,80,C,II,D7,0
41,80,84,C,V,M,0
43,84,88,C,IV,M,0
45,88,92,C,I,M,0
47,92,94,C,IV,M,0
48,94,96,C,V,D7,0
49,96,98,C,I,M,0
50,98,100,C,I,M,0
51,100,102,C,I,M,0
52,102,103,C,I,M,0
52,103,104,C,I,D7,0
53,104,108,C,IV,M,0
55,108,112,F,V,M,0
57,112,116,F,VI,m,0
59,116,120,F,III,D7,0
61,120,124,F,IV,M,0
63,124,128,F,I,M,0
65,128,132,F,II,D7,0
67,132,134,F,V,M,0
68,134,136,F,V,D7,0
69,136,140,F,I,M,0
71,140,144,F,V,M,0
73,144,148,F,VI,m7,0
75,148,152,F,III,D7,0
77,152,156,F,IV,M,0
79,156,160,F,I,M,0
81,160,162,F,II,D7,0
82,162,164,F,V,D7,0
83,164,165,F,I,M,0
83,165,166,F,#I,D7,0
84,166,168,F,II,D7,0
