1,0,3,D,I,M,0
2,3,6,D,I,M,0
3,6,9,D,IV,m,0
4,9,12,D,I,M,0
5,12,18,D,I,M,0
7,18,21,D,IV,M,0
8,21,24,D,I,M,0
9,24,27,D,bIII,M,0
10,27,30,D,bVII,D7,0
11,30,33,D,bIII,M,0
12,33,36,D,bIII,M,0
13,36,39,D,V,M,0
14,39,42,D,II,D7,0
15,42,45,D,V,M,0
16,45,48,D,V,D7,0
17,48,51,D,I,M,0
18,51,54,D,I,M,0
19,54,57,D,IV,m,0
20,57,60,D,I,M,0
21,60,63,D,I,M,0
22,63,66,D,I,M,0
23,66,69,D,IV,M,0
24,69,72,D,I,M,0
25,72,75,D,III,D7,0
26,75,78,D,III,D7,0
27,78,81,D,VI,m,0
28,81,84,D,IV,M,0
29,84,87,D,I,M,0
30,87,90,D,V,D7,0
31,90,96,D,I,M,0
33,96,99,b,I,m,0
34,99,102,b,IV,m,0
35,102,105,b,V,D7,0
36,105,108,b,I,m,0
37,108,111,b,IV,m,0
38,111,114,b,I,m,0
39,114,117,b,V,D7,0
40,117,120,b,I,m,0
41,120,123,b,I,m,0
42,123,126,b,IV,m,0
43,126,129,b,V,D7,0
44,129,132,b,I,m,0
45,132,135,b,IV,m,0
46,135,138,b,I,m,0
47,138,140,b,II,D7,0
47,140,141,b,V,D7,0
48,141,147,b,I,m,0
50,147,150,G,I,M,0
51,150,153,G,VI,D7,0
52,153,159,G,II,m,0
54,159,162,G,V,D7,0
55,162,165,G,V,D7,0
56,165,168,G,I,M,0
57,168,171,G,V,D7,0
58,171,174,G,I,M,0
59,174,177,G,VI,m,0
60,177,183,G,III,m,0
62,183,186,G,#IV,D7,0
63,186,189,G,VII,D7,0
64,189,192,G,III,m,0
65,192,195,G,V,D7,0
66,195,198,G,I,M,0
67,198,201,G,I,D7,0
68,201,204,G,IV,M,0
69,204,207,G,I,D7,0
70,207,210,G,IV,D7,0
71,210,213,G,IV,D7,0
72,213,219,G,bVII,M,0
74,219,222,G,III,D7,0
75,222,225,G,III,D7,0
76,225,228,G,VI,m,0
77,228,231,G,#IV,d,0
78,231,234,G,I,M,0
79,234,237,G,V,D7,0
80,237,243,G,I,M,0
