1,3/4,11/4,C,V,D7,0
2,11/4,19/4,C,I,M,0
3,19/4,27/4,C,V,D7,0
4,27/4,35/4,C,I,M,0
5,35/4,39/4,C,V,D7,0
5,39/4,43/4,C,III,D7,0
6,43/4,51/4,C,VI,m,0
7,51/4,55/4,C,III,m,0
7,55/4,59/4,C,VII,D7,0
8,59/4,67/4,C,III,m,0
9,67/4,75/4,C,V,D7,0
10,75/4,83/4,C,I,M,0
11,83/4,91/4,C,V,D7,0
12,91/4,95/4,C,I,M,0
12,95/4,99/4,C,I,D7,0
13,99/4,107/4,C,IV,M,0
14,107/4,111/4,C,III,M,0
14,111/4,115/4,C,VI,D7,0
15,115/4,119/4,C,II,M,0
15,119/4,123/4,C,V,D7,0
16,123/4,131/4,a,III,M,0
17,131/4,139/4,a,I,m,0
18,139/4,147/4,a,bII,M,0
19,147/4,155/4,a,V,D7,0
20,155/4,171/4,a,I,m,0
22,171/4,179/4,a,V,M,0
23,179/4,183/4,a,#VI,D7,0
23,183/4,187/4,a,II,D7,0
24,187/4,195/4,a,V,D7,0
25,195/4,203/4,a,I,m,0
26,203/4,211/4,a,bII,M,0
27,211/4,219/4,a,V,D7,0
28,219/4,227/4,a,I,D7,0
29,227/4,235/4,a,IV,m,0
30,235/4,243/4,a,I,m,0
31,243/4,247/4,a,II,D7,0
31,247/4,251/4,a,V,D7,0
32,251/4,259/4,a,I,m,0
33,259/4,267/4,a,I,m,0
34,267/4,275/4,F,V,M,0
35,275/4,283/4,F,V,D7,0
36,283/4,291/4,F,I,M,0
37,291/4,299/4,F,V,D7,0
38,299/4,307/4,F,I,M,0
39,307/4,315/4,F,V,D7,0
40,315/4,323/4,F,I,M,0
41,323/4,327/4,F,V,M,0
41,327/4,331/4,F,II,D7,0
42,331/4,339/4,F,V,M,0
43,339/4,347/4,F,V,D7,0
44,347/4,355/4,F,I,M,0
45,355/4,363/4,F,V,D7,0
46,363/4,371/4,F,I,M,0
47,371/4,379/4,F,VI,D7,0
48,379/4,383/4,F,II,m,0
48,383/4,387/4,F,#IV,d,0
49,387/4,391/4,F,I,M,0
49,391/4,395/4,F,V,D7,0
50,395/4,403/4,F,I,M,0
51,403/4,411/4,F,I,M,0
