1,5/4,13/4,d,I,m,0
2,13/4,21/4,d,IV,m7,0
3,21/4,29/4,d,V,D7,0
4,29/4,37/4,d,I,m,0
5,37/4,45/4,d,I,D7,0
6,45/4,53/4,d,IV,m,0
7,53/4,57/4,d,I,m,0
7,57/4,61/4,d,V,D7,0
8,61/4,65/4,d,I,m,0
8,65/4,69/4,d,V,D7,0
9,69/4,77/4,d,I,m,0
10,77/4,85/4,d,IV,m7,0
11,85/4,93/4,d,V,D7,0
12,93/4,101/4,d,I,m,0
13,101/4,109/4,d,I,D7,0
14,109/4,117/4,d,IV,m,0
15,117/4,121/4,d,I,m,0
15,121/4,125/4,d,V,D7,0
16,125/4,129/4,D,I,m,0
16,129/4,133/4,D,V,D7,0
17,133/4,137/4,D,I,M,0
17,137/4,141/4,D,VI,D7,0
18,141/4,149/4,D,II,D7,0
19,149/4,157/4,D,V,D7,0
20,157/4,161/4,D,I,M,0
20,161/4,165/4,D,V,D7,0
21,165/4,169/4,D,I,M,0
21,169/4,173/4,D,VI,D7,0
22,173/4,177/4,D,II,m,0
22,177/4,181/4,D,bIII,d,0
23,181/4,185/4,D,I,M,0
23,185/4,189/4,D,V,D7,0
24,189/4,193/4,D,I,M,0
24,193/4,197/4,D,V,D7,0
25,197/4,201/4,Bb,III,m,0
25,201/4,205/4,Bb,V,D7,0
26,205/4,213/4,Bb,I,M,0
27,213/4,221/4,Bb,V,M,0
28,221/4,229/4,Bb,I,M,0
29,229/4,237/4,Bb,IV,M,0
30,237/4,245/4,Bb,IV,m,0
31,245/4,253/4,Bb,I,M,0
32,253/4,261/4,Bb,II,D7,0
33,261/4,269/4,Bb,V,D7,0
34,269/4,277/4,Bb,I,M,0
35,277/4,285/4,Bb,V,M,0
36,285/4,293/4,Bb,I,M,0
37,293/4,301/4,Bb,IV,M,0
38,301/4,309/4,Bb,IV,m,0
39,309/4,317/4,Bb,I,M,0
40,317/4,321/4,Bb,II,m,0
40,321/4,325/4,Bb,V,D7,0
41,325/4,329/4,Bb,I,M,0
41,329/4,333/4,Bb,V,D7,0
42,333/4,337/4,Bb,I,M,0
42,337/4,341/4,Bb,VII,D7,0
43,341/4,349/4,Bb,III,m,0
