5/4,13/4,G,V,D7,0
13/4,21/4,G,I,M,0
21/4,29/4,G,V,D7,0
29/4,37/4,G,I,M,0
37/4,41/4,G,V,D7,0
41/4,45/4,G,III,D7,0
45/4,53/4,G,VI,m,0
53/4,57/4,G,III,m,0
57/4,61/4,G,VII,D7,0
61/4,69/4,G,III,m,0
69/4,77/4,G,V,D7,0
77/4,85/4,G,I,M,0
85/4,93/4,G,V,D7,0
93/4,97/4,G,I,M,0
97/4,101/4,G,I,D7,0
101/4,105/4,G,IV,M,0
105/4,109/4,G,IV,m,0
109/4,113/4,G,I,M,0
113/4,117/4,G,#IV,d,0
117/4,121/4,G,I,M,0
121/4,125/4,G,V,D7,0
125/4,133/4,G,I,M,0
133/4,137/4,G,VII,D7,0
137/4,141/4,G,III,D7,0
141/4,145/4,G,VI,m,0
145/4,149/4,G,I,D7,0
149/4,153/4,G,IV,M,0
153/4,157/4,G,VI,D7,0
157/4,165/4,G,II,m,0
165/4,169/4,G,III,D7,0
169/4,173/4,G,VI,D7,0
173/4,177/4,G,II,m,0
177/4,181/4,G,VI,D7,0
181/4,189/4,G,VII,D7,0
189/4,197/4,G,III,D7,0
197/4,201/4,G,VII,D7,0
201/4,205/4,G,III,D7,0
205/4,209/4,G,VI,m,0
209/4,213/4,G,I,D7,0
213/4,217/4,G,IV,M,0
217/4,221/4,G,VI,D7,0
221/4,229/4,G,II,m,0
229/4,237/4,G,bVI,M,0
237/4,241/4,G,I,M,0
241/4,245/4,G,VI,D7,0
245/4,249/4,G,II,D7,0
249/4,253/4,G,V,D7,0
253/4,261/4,G,I,M,0
261/4,269/4,G,I,D7,0
269/4,277/4,G,IV,M,0
277/4,285/4,G,V,D7,0
285/4,325/4,G,I,M,0
325/4,341/4,C,V,D7,0
341/4,357/4,C,I,M,0
357/4,365/4,C,II,D7,0
365/4,373/4,C,V,D7,0
373/4,389/4,C,I,M,0
389/4,397/4,C,V,D7,0
397/4,405/4,C,III,D7,0
405/4,413/4,C,VI,m,0
413/4,421/4,C,#IV,d,0
421/4,429/4,C,I,M,0
429/4,437/4,C,V,D7,0
437/4,445/4,C,I,M,0
445/4,453/4,C,I,M,0
453/4,461/4,C,I,M,0
461/4,477/4,C,I,M,0
