1,3/4,11/4,d,V,D7,0
2,11/4,19/4,d,I,m,0
3,19/4,27/4,d,V,D7,0
4,27/4,35/4,d,I,m,0
5,35/4,43/4,d,V,D7,0
6,43/4,51/4,d,I,m,0
7,51/4,59/4,d,VI,D7,0
8,59/4,75/4,d,V,D7,0
10,75/4,83/4,d,I,m,0
11,83/4,91/4,d,I,D7,0
12,91/4,99/4,d,IV,m,0
13,99/4,103/4,d,II,h7,0
13,103/4,107/4,d,V,D7,0
14,107/4,115/4,d,I,m,0
15,115/4,123/4,d,V,D7,0
16,123/4,131/4,d,I,m,0
17,131/4,139/4,F,VI,m,0
18,139/4,143/4,F,I,M,0
18,143/4,147/4,F,VI,D7,0
19,147/4,155/4,F,II,m,0
20,155/4,163/4,F,V,D7,0
21,163/4,171/4,F,I,M,0
22,171/4,179/4,F,III,D7,0
23,179/4,187/4,F,VI,m,0
24,187/4,195/4,F,II,D7,0
25,195/4,203/4,F,V,D7,0
26,203/4,207/4,F,I,M,0
26,207/4,211/4,F,VI,D7,0
27,211/4,219/4,F,II,m,0
28,219/4,227/4,F,III,D7,0
29,227/4,235/4,F,VI,m,0
30,235/4,243/4,F,IV,m,0
31,243/4,247/4,F,I,M,0
31,247/4,251/4,F,VI,D7,0
32,251/4,255/4,F,II,D7,0
32,255/4,259/4,F,V,D7,0
33,259/4,267/4,F,I,M,0
34,267/4,275/4,F,I,M,0
35,275/4,283/4,Bb,III,m,0
36,283/4,291/4,Bb,I,M,0
37,291/4,299/4,Bb,II,m,0
38,299/4,307/4,Bb,V,D7,0
39,307/4,315/4,Bb,I,M,0
40,315/4,323/4,Bb,III,D7,0
41,323/4,331/4,Bb,VI,m,0
42,331/4,339/4,Bb,VII,D7,0
43,339/4,343/4,Bb,III,m,0
43,343/4,347/4,Bb,bVII,m,0
44,347/4,355/4,Bb,VI,D7,0
45,355/4,363/4,Bb,II,D7,0
46,363/4,371/4,Bb,IV,m,0
47,371/4,375/4,Bb,I,M,0
47,375/4,379/4,Bb,I,D7,0
48,379/4,383/4,Bb,IV,M,0
48,383/4,387/4,Bb,#IV,d,0
49,387/4,391/4,Bb,I,M,0
49,391/4,395/4,Bb,VI,D7,0
50,395/4,401/4,Bb,bVI,M,0
50,401/4,403/4,Bb,V,D7,0
51,403/4,411/4,Bb,I,M,0
52,411/4,419/4,Bb,I,M,0
53,419/4,427/4,Bb,III,m,0
