0,3/4,C,IV,M,0
3/4,11/4,C,VI,D7,0
11/4,19/4,C,II,m,0
19/4,27/4,C,VI,D7,0
27/4,35/4,C,II,m,0
35/4,43/4,C,VI,D7,0
43/4,51/4,C,II,m,0
51/4,55/4,C,bVII,M,0
55/4,59/4,C,bVII,M,0
59/4,67/4,C,II,m,0
67/4,75/4,C,VI,D7,0
75/4,83/4,C,II,m,0
83/4,91/4,C,II,M,0
91/4,99/4,C,bVII,M,0
99/4,103/4,C,II,m,0
103/4,107/4,C,III,d,0
107/4,115/4,C,II,m,0
115/4,117/4,C,I,unknown,0
117/4,119/4,C,I,D7,0
119/4,131/4,C,VI,unknown,0
131/4,139/4,C,I,M,0
139/4,143/4,C,VI,M,0
143/4,147/4,C,V,m,0
147/4,151/4,C,I,M,0
151/4,155/4,C,I,M,0
155/4,163/4,C,IV,M,0
163/4,167/4,C,VI,M,0
167/4,171/4,C,VI,M,0
171/4,179/4,C,II,m,0
179/4,187/4,C,V,M,0
187/4,191/4,C,V,m,0
191/4,195/4,C,bVII,m,0
195/4,203/4,C,I,M,0
203/4,207/4,C,V,m,0
207/4,215/4,C,VI,M,0
215/4,219/4,C,II,m,0
219/4,223/4,C,I,M,0
223/4,227/4,C,IV,M,0
227/4,243/4,C,I,M,0
243/4,247/4,C,IV,M,0
247/4,251/4,C,V,m,0
251/4,259/4,C,IV,M,0
259/4,267/4,C,II,m,0
267/4,275/4,C,bVII,M,0
275/4,279/4,C,V,M,0
279/4,283/4,C,#IV,d,0
283/4,291/4,C,IV,M,0
291/4,307/4,C,II,D7,0
307/4,311/4,C,VI,M,0
311/4,315/4,C,III,m,0
315/4,319/4,C,VI,M,0
319/4,323/4,C,VI,D7,0
323/4,327/4,C,II,M,0
327/4,331/4,C,II,m,0
331/4,339/4,C,V,M,0
339/4,343/4,C,II,D7,0
343/4,355/4,C,II,D7,0
355/4,363/4,C,I,unknown,0
363/4,371/4,C,V,m,0
371/4,375/4,C,IV,M,0
375/4,379/4,C,IV,D7,0
379/4,395/4,C,IV,M,0
395/4,399/4,C,V,m,0
399/4,427/4,C,II,m,0
