0,1,C,III,unknown,0
1,3,D,V,M,0
3,5,D,V,D7,0
5,7,D,V,M,0
7,9,D,I,M,0
9,11,D,II,D7,0
11,12,D,II,unknown,0
12,13,D,II,D7,0
13,17,D,V,unknown,0
17,19,D,VII,d,0
19,21,D,V,M,0
21,23,D,I,M,0
23,24,D,V,M,0
24,25,D,#IV,d,0
25,27,D,VI,m,0
27,40,D,V,D7,0
40,41,D,III,d7,0
41,42,D,V,D7,0
42,43,D,#IV,d7,0
43,45,D,V,D7,0
45,47,D,I,M,0
47,51,D,V,D7,0
51,53,D,I,M,0
53,55,D,VI,m7,0
55,57,D,V,M,0
57,59,D,II,D7,0
59,61,D,V,D7,0
61,63,D,I,M,0
63,67,D,V,D7,0
67,69,D,I,M,0
69,71,D,II,D7,0
71,73,D,I,M,0
73,75,D,V,D7,0
75,78,D,I,M,0
78,83,A,V,D7,0
83,86,A,I,M,0
86,89,A,V,D7,0
89,93,A,I,M,0
93,98,A,V,D7,0
98,103,A,I,M,0
103,104,A,V,D7,0
104,105,A,I,M,0
105,107,A,II,D7,0
107,108,A,V,D7,0
108,110,A,I,M,0
110,111,A,I,M,0
111,118,A,IV,M,0
118,122,D,V,M,0
