1,3,C,I,M,0
3,6,C,VI,m,0
6,9,C,V,D7,0
9,15,C,I,M,0
15,21,C,V,M,0
21,30,C,I,M,0
30,33,C,V,D7,0
33,37,C,I,M,0
37,39,C,I,M,0
39,42,C,V,D7,0
42,45,C,II,D7,0
45,54,C,V,D7,0
54,57,C,V,D7,0
57,63,C,I,M,0
63,69,C,V,M,0
69,78,C,I,M,0
78,81,C,V,D7,0
81,84,C,I,M,0
84,87,C,IV,M,0
87,90,C,V,M,0
90,93,C,V,D7,0
93,96,C,I,M,0
96,99,G,I,M,0
99,102,G,IV,M7,0
102,105,G,V,D7,0
105,111,G,I,M,0
111,117,G,V,D7,0
117,123,G,I,M,0
123,126,G,IV,M7,0
126,129,G,V,D7,0
129,132,G,I,M,0
132,135,G,VI,d7,0
135,138,G,I,M,0
138,141,G,V,D7,0
141,144,G,I,M,0
144,147,F,I,M,0
147,301/2,F,V,D7,0
301/2,153,F,V,D7,0
153,159,F,I,M,0
159,165,F,V,D7,0
165,331/2,F,I,M,0
331/2,171,F,I,M,0
171,177,F,V,D7,0
177,180,F,I,M,0
180,183,F,II,D7,0
183,186,F,I,M,0
186,189,F,V,D7,0
189,192,F,I,M,0
