lr-Adam,step,val_loss,val_acc,epoch,train_loss
0.001,0,,,,
,1,0.7122028470039368,19.53642463684082,0,
0.001,2,,,,
,3,0.6975010633468628,19.53642463684082,1,
0.001,4,,,,
,5,0.6826323866844177,80.46357727050781,2,
0.001,6,,,,
,7,0.6657313108444214,80.46357727050781,3,
0.001,8,,,,
,9,0.6447253823280334,80.46357727050781,4,
0.001,10,,,,
,11,0.6164615154266357,80.46357727050781,5,
0.001,12,,,,
,13,0.5782074332237244,80.46357727050781,6,
0.001,14,,,,
,15,0.5331284403800964,80.46357727050781,7,
0.001,16,,,,
,17,0.4986934959888458,80.46357727050781,8,
0.001,18,,,,
,19,0.49301764369010925,80.46357727050781,9,
0.001,20,,,,
,21,0.49428948760032654,80.46357727050781,10,
0.001,22,,,,
,23,0.4911332428455353,80.46357727050781,11,
0.001,24,,,,
,25,0.4915034770965576,80.46357727050781,12,
0.001,26,,,,
,27,0.49640241265296936,80.46357727050781,13,
0.001,28,,,,
,29,0.501676619052887,80.46357727050781,14,
0.001,30,,,,
,31,0.5034751296043396,80.46357727050781,15,
0.001,32,,,,
,33,0.5013953447341919,80.46357727050781,16,
0.001,34,,,,
,35,0.49648699164390564,80.46357727050781,17,
0.001,36,,,,
,37,0.4904620349407196,80.46357727050781,18,
0.001,38,,,,
,39,0.48518168926239014,80.46357727050781,19,
0.001,40,,,,
,41,0.4813252091407776,80.46357727050781,20,
0.001,42,,,,
,43,0.4783182144165039,80.46357727050781,21,
0.001,44,,,,
,45,0.47538045048713684,80.46357727050781,22,
0.001,46,,,,
,47,0.4721303880214691,80.46357727050781,23,
0.001,48,,,,
,49,,,24,0.49343279004096985
,49,0.4684236943721771,80.46357727050781,24,
0.001,50,,,,
,51,0.46351537108421326,80.46357727050781,25,
0.001,52,,,,
,53,0.4573242962360382,80.46357727050781,26,
0.001,54,,,,
,55,0.4501418471336365,80.46357727050781,27,
0.001,56,,,,
,57,0.44182512164115906,80.46357727050781,28,
0.001,58,,,,
,59,0.432512491941452,80.46357727050781,29,
0.001,60,,,,
,61,0.42222529649734497,80.46357727050781,30,
0.001,62,,,,
,63,0.40920916199684143,80.46357727050781,31,
0.001,64,,,,
,65,0.393592894077301,80.46357727050781,32,
0.001,66,,,,
,67,0.37656357884407043,80.7947006225586,33,
0.001,68,,,,
,69,0.35903221368789673,80.7947006225586,34,
0.001,70,,,,
,71,0.3371054232120514,81.12582397460938,35,
0.001,72,,,,
,73,0.31072932481765747,82.45033264160156,36,
0.001,74,,,,
,75,0.2846126854419708,87.41722106933594,37,
0.001,76,,,,
,77,0.26144519448280334,91.39073181152344,38,
0.001,78,,,,
,79,0.24115201830863953,94.70198822021484,39,
0.001,80,,,,
,81,0.22651556134223938,95.3642349243164,40,
0.001,82,,,,
,83,0.2149086743593216,95.3642349243164,41,
0.001,84,,,,
,85,0.20535042881965637,95.3642349243164,42,
0.001,86,,,,
,87,0.19813500344753265,95.3642349243164,43,
0.001,88,,,,
,89,0.19129762053489685,95.3642349243164,44,
0.001,90,,,,
,91,0.18289239704608917,95.3642349243164,45,
0.001,92,,,,
,93,0.1771022230386734,95.3642349243164,46,
0.001,94,,,,
,95,0.17304103076457977,95.69536590576172,47,
0.001,96,,,,
,97,0.1734398752450943,96.0264892578125,48,
0.001,98,,,,
,99,,,49,0.2544463574886322
,99,0.1677486151456833,96.0264892578125,49,
0.001,100,,,,
,101,0.16736125946044922,96.0264892578125,50,
0.001,102,,,,
,103,0.1703883558511734,96.35761260986328,51,
0.001,104,,,,
,105,0.17148049175739288,96.35761260986328,52,
0.001,106,,,,
,107,0.17086440324783325,96.0264892578125,53,
0.001,108,,,,
,109,0.16903217136859894,96.0264892578125,54,
0.001,110,,,,
,111,0.17239148914813995,96.35761260986328,55,
0.001,112,,,,
,113,0.1693066507577896,96.35761260986328,56,
0.001,114,,,,
,115,0.1670534908771515,96.0264892578125,57,
0.001,116,,,,
,117,0.16603396832942963,96.0264892578125,58,
0.001,118,,,,
,119,0.16656185686588287,96.35761260986328,59,
0.001,120,,,,
,121,0.16664032638072968,96.35761260986328,60,
0.001,122,,,,
,123,0.16511398553848267,96.35761260986328,61,
0.001,124,,,,
,125,0.16198763251304626,96.35761260986328,62,
0.001,126,,,,
,127,0.1619078516960144,96.35761260986328,63,
0.001,128,,,,
,129,0.16262367367744446,96.35761260986328,64,
0.001,130,,,,
,131,0.163825124502182,96.35761260986328,65,
0.001,132,,,,
,133,0.16309599578380585,96.35761260986328,66,
0.001,134,,,,
,135,0.1667487770318985,96.6887435913086,67,
0.001,136,,,,
,137,0.16564148664474487,96.35761260986328,68,
0.001,138,,,,
,139,0.16348831355571747,96.35761260986328,69,
0.001,140,,,,
,141,0.16228318214416504,96.6887435913086,70,
0.001,142,,,,
,143,0.15804548561573029,96.35761260986328,71,
0.001,144,,,,
,145,0.1580745428800583,96.35761260986328,72,
0.001,146,,,,
,147,0.1575077921152115,96.35761260986328,73,
0.001,148,,,,
,149,,,74,0.18418951332569122
,149,0.15629300475120544,96.35761260986328,74,
0.001,150,,,,
,151,0.15484705567359924,96.35761260986328,75,
0.001,152,,,,
,153,0.15374639630317688,96.35761260986328,76,
0.001,154,,,,
,155,0.15965819358825684,96.6887435913086,77,
0.001,156,,,,
,157,0.15901386737823486,96.6887435913086,78,
0.001,158,,,,
,159,0.15572728216648102,96.6887435913086,79,
0.001,160,,,,
,161,0.15559010207653046,96.6887435913086,80,
0.001,162,,,,
,163,0.15968188643455505,96.6887435913086,81,
0.001,164,,,,
,165,0.1550360918045044,96.6887435913086,82,
0.001,166,,,,
,167,0.15259261429309845,96.35761260986328,83,
0.001,168,,,,
,169,0.1548740565776825,96.35761260986328,84,
